// Sample: .//bubblelabels.tif, Map: .//bubblelabels.tif, Thickness:(8.191250068658265):/gpfs/home/mader/Foam/NewValid/InSilicoTest/LatticeDataPhi_16.0/out_Step_02000.vtk/distmap.tif, Neighbors:(1.0):
//LACUNA_NUMBER, TRIANGLES, SCALE_X, SCALE_Y, SCALE_Z, POS_X, POS_Y, POS_Z , STD_X, STD_Y, STD_Z,PROJ_X, PROJ_Y, PROJ_Z, PCA1_X, PCA1_Y, PCA1_Z, PCA1_S, PCA2_X, PCA2_Y, PCA2_Z, PCA2_S, PCA3_X, PCA3_Y, PCA3_Z, PCA3_S,PROJ_PCA1, PROJ_PCA2, PROJ_PCA3,OBJ_RADIUS, OBJ_RADIUS_STD, VOLUME, VOLUME_BOX, Mask_Grad_X,Mask_Grad_Y,Mask_Grad_Z,Mask_Angle, Mask_Distance_Mean,Mask_Distance_COV, Mask_Distance_STD, SHAPET_XX, SHAPET_XY, SHAPET_XZ, SHAPET_YX, SHAPET_YY, SHAPET_YZ, SHAPET_ZX, SHAPET_ZY, SHAPET_ZZ, Thickness, Thickness_STD, Neighbors, Neighbors_STD
1, 0 ,1.0,1.0,1.0,170.27451314612009,61.84247382849676,167.68553003508472,12.899111564201835,12.425525094700864,11.00549309421106,60.0,62.0,60.0,-0.8077702599469785,-0.5894222933570241,0.009411016891722315,13.415176506110623,-0.5847166942122243,0.7990882189443745,-0.13987282028269615,11.883611551137585,0.07492392578287985,-0.11848788308537381,-0.990124753203973,10.98701265508786,68.89672544333729,61.07441393777385,58.938785657882846,20.126477316854814,6.068487627539493,70401.0,248004.2212229036, 0.0, 0.0,0.0,NaN, 75.84405782289015,75.84405782289015,0.0, 166.3870791457255, 18.630052851386715, 1.2266508507259049, 18.630052851386715, 154.3936738790409, -2.6206228876139703, 1.2266508507259049, -2.6206228876139703, 121.12087824672732, 5.896819758424704, 4.241453651498121, 28.0, 0.0
2, 0 ,1.0,1.0,1.0,41.617263671047056,8.883928571428571,26.23956125476897,14.156580800631444,5.8747987326544635,12.113641075426404,74.0,22.0,55.0,0.8643832194114387,-0.02086586654078389,0.5024005031978157,15.106395187864749,-0.4978543437475934,0.10474628701715745,0.8609118815347899,10.953526700113635,0.07058825972900276,0.9942800566086104,-0.0801527704998983,5.786140118958187,80.06204020531736,54.05394038637196,25.85216063819354,18.317011619011886,6.793336850711651,37744.0,111879.58767432452, 0.0, 0.0,0.0,NaN, 49.99435365289235,49.99435365289235,0.0, 200.4087799648068, -8.022911399352028, 47.48722186006784, -8.022911399352028, 34.51326014919849, 5.759074763065498, 47.48722186006784, 5.759074763065498, 146.74030010425776, 6.235545546613118, 4.244311341080563, 17.0, 0.0
3, 0 ,1.0,1.0,1.0,169.83326339881748,40.399008201411405,11.867785618920465,15.005752847256483,11.607007186986761,8.216609632271885,65.0,62.0,31.0,0.9287958729591455,0.36611420453318205,0.05743357566001328,15.567268256936028,0.36764587452742736,-0.9297821869213818,-0.018482311182747464,10.869753868095634,-0.046634078923275535,-0.038281511500045245,0.9981782348660232,8.180251711558961,74.03282446139224,65.43132087289358,33.76592622527887,19.49248699784257,6.888458379039889,52430.0,163564.35804882218, 0.0, 0.0,0.0,NaN, 51.797260509794214,51.797260509794214,NaN, 225.17261851294606, 42.13818671937296, 9.009654432206855, 42.13818671937296, 134.72261583876235, 4.569119299107067, 9.009654432206855, 4.569119299107067, 67.51267384914311, 6.0705677884158895, 4.056212000107639, 14.0, 0.0
4, 0 ,1.0,1.0,1.0,9.39628471583594,29.770682361596467,135.1250689718595,6.162258903165058,10.68930256846112,10.73794522036092,24.0,53.0,57.0,0.030173155366113678,-0.6988171475224859,0.7146636796590325,11.83018446837493,-0.026244623807603375,-0.7152966074203879,-0.6983279910859082,9.473125064586469,-0.9992000802724392,-0.002314679549932271,0.03992294881557951,6.151806945942192,67.25614846433226,47.57644874720076,25.18428763672226,15.460346226264202,5.340017444659889,27185.0,80584.90269203606, 0.0, 0.0,0.0,NaN, 71.99541909484319,71.99541909484319,0.0, 37.97343478963702, -1.178795699153172, 3.152938457463928, -1.178795699153172, 114.26118940010947, -25.07262534594189, 3.152938457463928, -25.07262534594189, 115.30346755547193, 6.1415184299494605, 4.11655514050564, 13.0, 0.0
5, 0 ,1.0,1.0,1.0,59.08441391556272,74.2789888086727,142.6392374009953,9.94493144615611,9.834092051544722,10.694821532179974,52.0,56.0,57.0,-0.603822429334325,0.322390614611423,0.7290149281347146,11.621427568913075,0.24116365767381223,-0.7978165819266124,0.5525656448064112,9.943059214428093,-0.759762175980209,-0.5094634365814741,-0.40399064684273533,8.721710283600565,55.04796612739946,52.90306635511789,48.82212657292057,16.891094637575364,4.968013435632024,42801.0,142180.09993485146, -7.105427357601002E-15, 0.0,0.0,52.85584768728391, 110.89902268335747,110.89902268335747,1.3486991523486091E-6, 98.90166146874465, -15.869348533112147, -22.92905690824522, -15.869348533112147, 96.70936647825508, 3.8145105533682795, -22.92905690824522, 3.8145105533682795, 114.37920760518041, 5.930331989603007, 3.8648070022557497, 21.0, 0.0
6, 0 ,1.0,1.0,1.0,29.212279502701296,106.69156414762742,173.97710408123413,12.347515433222537,12.375464323048915,9.946524977751135,60.0,59.0,50.0,-0.6985361969431463,0.715204486546947,0.023015733386625787,12.740304521934275,-0.7086030519153302,-0.6958514698377559,0.11692923817811869,11.998183091359024,0.09964384765998446,0.06537028642856978,0.9928735212884672,9.913367586867736,65.85440778994806,60.89977143046323,49.75285042018609,19.256937149793515,5.806632873416394,61452.0,199534.72117184664, 0.0, 0.0,2.8421709430404007E-14,88.6811791618964, 101.17812306501438,101.17812306501438,0.0, 152.46113737366872, -9.46962595693863, -4.814608519489863, -9.46962595693863, 153.15211721105655, -2.6627281332469357, -4.814608519489863, -2.6627281332469357, 98.93335913302722, 5.946009365784398, 3.7514254280629027, 27.0, 0.0
7, 0 ,1.0,1.0,1.0,136.41442522164533,16.58763659537778,180.48587655339168,13.338138026203874,9.98927467901134,9.561675377921684,67.0,42.0,39.0,-0.9575735689027737,-0.2879935196202494,-0.010610975240088479,13.62692401219476,-0.22280855736251806,0.7631828648536227,-0.6065544176410311,9.63518351507929,0.18278185606027297,-0.5784562623488124,-0.7949711602596684,9.517738767594482,71.18069206214811,53.88573873673673,50.90352437133518,18.35778064734381,5.666485714758031,53351.0,195246.78869995294, 0.0, 0.0,0.0,NaN, 68.54980686773318,68.54980686773318,0.0, 177.90592600606578, 25.845276656036404, 1.270346748973964, 25.845276656036404, 99.78560861273711, -0.750646020231691, 1.270346748973964, -0.750646020231691, 91.42563603275377, 6.1870928511532695, 3.9608864033027027, 14.0, 0.0
8, 0 ,1.0,1.0,1.0,185.29116090880797,155.70746446726838,91.46392260607946,8.270894981684686,10.769182673691416,10.444788142656419,32.0,57.0,53.0,0.1662447752957528,0.78469248313071,0.5971770102783802,11.494201537930362,-0.2539765258830765,-0.5510993071323035,0.7948493429440944,9.844658681931103,-0.9528161412293705,0.28380849281946285,-0.10767609027224753,8.027616398663193,55.652341587764994,47.56810854276013,38.18218235974301,16.411759689177455,4.912305213131167,38556.0,101078.7988641023, 0.0, 0.0,0.0,NaN, 102.68314267599996,102.68314267599996,0.0, 68.40770379805691, 13.37350876362796, 0.16275041041995864, 13.37350876362796, 115.97529545933538, 17.486839482154917, 0.16275041041995864, 17.486839482154917, 109.09359934497611, 6.1591561067826595, 4.074593868905379, 19.0, 0.0
9, 0 ,1.0,1.0,1.0,79.37092924360064,146.573541112239,44.81854097506105,9.586142448555487,8.813035601087458,10.45915069695316,45.0,40.0,50.0,-0.5743244458279878,-0.07701687396663753,0.8149968294716129,11.271518373641017,0.16715920456090352,-0.9856215848267833,0.024655462966787146,8.800150549851226,0.8013795800087127,0.1503944568391657,0.5789406498917757,8.629471635287658,55.54726644566621,41.02791808598661,41.69737249585663,16.045785451666106,4.635765965911782,36449.0,95027.84063906145, 0.0, 0.0,0.0,NaN, 105.65430674331975,105.65430674331975,0.0, 91.89412704399739, 1.8355983473491364, -24.598690608324656, 1.8355983473491364, 77.66959650603498, -3.372619251108424, -24.598690608324656, -3.372619251108424, 109.39383330157577, 6.025313788649804, 3.939870745299983, 14.0, 0.0
10, 0 ,1.0,1.0,1.0,152.83414634146342,10.601330376940133,87.1614996976416,9.670223902187175,6.7841918653721,9.623128241179929,48.0,26.0,47.0,-0.7536414098765309,-0.0542166829657879,0.6550459347309179,9.885609645254473,0.6510485586214521,0.07539321515490562,0.7552824884938985,9.422899869871937,0.09033493032179911,-0.9956788711210022,0.02152175566635528,6.754758819885946,50.99927443041355,52.29246483878103,27.44939634532384,14.49988798989261,4.679351986266044,24805.0,73204.18477480164, 0.0, 0.0,0.0,NaN, 99.67012083187969,99.67012083187969,1.9073486328125E-6, 93.51323031843215, 4.247444997812209, -4.49448055810931, 4.247444997812209, 46.025259266180974, 0.6076625885901239, -4.49448055810931, 0.6076625885901239, 92.60459714619472, 6.329707389089567, 4.050723669066722, 15.0, 0.0
