// Sample: , Map: , Neighbors:(1.0):
//LACUNA_NUMBER, TRIANGLES, SCALE_X, SCALE_Y, SCALE_Z, POS_X, POS_Y, POS_Z , STD_X, STD_Y, STD_Z,PROJ_X, PROJ_Y, PROJ_Z, PCA1_X, PCA1_Y, PCA1_Z, PCA1_S, PCA2_X, PCA2_Y, PCA2_Z, PCA2_S, PCA3_X, PCA3_Y, PCA3_Z, PCA3_S,PROJ_PCA1, PROJ_PCA2, PROJ_PCA3,OBJ_RADIUS, OBJ_RADIUS_STD, VOLUME, VOLUME_BOX, Mask_Grad_X,Mask_Grad_Y,Mask_Grad_Z,Mask_Angle, Mask_Distance_Mean,Mask_Distance_COV, Mask_Distance_STD, SHAPET_XX, SHAPET_XY, SHAPET_XZ, SHAPET_YX, SHAPET_YY, SHAPET_YZ, SHAPET_ZX, SHAPET_ZY, SHAPET_ZZ, Neighbors, Neighbors_STD
180851, 0 ,1.0,1.0,1.0,70.09690721649484,126.26804123711341,184.1958762886598,93.62188092733895,2.216691432183562,2.3943196319955837,199.0,9.0,10.0,-0.9999954223849221,0.0014130045812538233,0.0026755611102082092,93.62230919939864,0.0030245981329635268,0.49128861252692496,0.8709915906640561,2.4558394175433573,8.375759772331907E-5,-0.8709956960969567,0.49129063736778306,2.1295888584279585,199.03038457554996,11.27394078707502,9.424418755614568,89.27738112898994,28.376967676754692,485.0,21147.045833128836, 0.0, -1.4210854715202004E-14,0.0,89.9190407741212, 102.95507986793679,102.95507986793679,0.0, 8765.056588372832, -12.376490594112019, -23.435476671272177, -12.376490594112019, 4.913720905516011, 0.6732702731427401, -23.435476671272177, 0.6732702731427401, 5.7327665001594665, 7.0, 0.0
181372, 0 ,1.0,1.0,1.0,176.83065310141123,125.51591729570069,165.6865769609452,3.859810213842334,4.004796025782779,4.448578721478228,14.0,17.0,19.0,0.09225420330529918,0.49040588075824276,0.8665975040872418,4.673580494440015,-0.7905594805396798,0.5652119809637715,-0.2356928601036541,3.9953702089430188,-0.6053964566309717,-0.6633532156345828,0.43983819934826324,3.594584954021319,21.199688222645563,18.567800439959484,17.200672047641618,6.866585890390654,1.8911311287385701,3047.0,6770.727720463217, 0.0, 0.0,0.0,NaN, 85.21800404060859,85.21800404060859,0.0, 14.898134886881603, -0.9556241140198424, 1.2800373192805012, -0.9556241140198424, 16.038391208125546, 3.3861834648487776, 1.2800373192805012, 3.3861834648487776, 19.789852641188865, 8.0, 0.0
181470, 0 ,1.0,1.0,1.0,63.418255822718024,61.64912941885882,113.34921233134845,6.637816577182449,7.00994618755966,6.571653974386864,28.0,30.0,29.0,0.3602892092235919,-0.749520131683653,0.5553478710843852,7.5152591204681185,0.8935340541675263,0.4482805990240481,0.025325848092115924,6.530970297913618,-0.2679339093134409,0.4870976049413103,0.8312324244761248,6.10359711513349,34.78166252201945,30.33445173622526,29.237672680575173,11.251922090639829,3.127433402973494,13267.0,30848.16155407893, 0.0, 0.0,0.0,NaN, 123.81780701214444,123.81780701214444,1.3486991523486091E-6, 44.06060891231812, -3.0287946894737128, 3.968886769680194, -3.0287946894737128, 49.139345552482204, -7.941088158405988, 3.968886769680194, -7.941088158405988, 43.186635959074664, 12.0, 0.0
181525, 0 ,1.0,1.0,1.0,116.63103701887718,102.1848492277519,189.83868595243933,4.833732463648793,4.835429018013889,14.227340709762451,22.0,20.0,198.0,-0.029108583952815494,-0.002069152122675381,0.999574113785344,14.232699992194473,-0.689803510215357,-0.723674768787215,-0.021585789662262836,5.006209143412646,-0.7234112299617933,0.6901380641801061,-0.019637839364385946,4.64022498750287,198.2649775369319,21.969020533150314,20.50872913552444,8.630966556238105,13.216277210135367,4079.0,89329.61231681504, 0.0, 0.0,0.0,NaN, 128.92416380306142,128.92416380306142,0.0, 23.364969530132225, 1.7732772953583118, -5.214949164397825, 1.7732772953583118, 23.38137378825076, -0.3192863957193635, -5.214949164397825, -0.3192863957193635, 202.41722367166392, 7.0, 0.0
181660, 0 ,1.0,1.0,1.0,14.370307167235495,143.9390541199415,34.24841540711848,4.533060295684623,5.518524354454087,3.5925414603530372,18.0,23.0,16.0,-0.056623180278551434,0.9964493777413386,-0.062309333602943245,5.527308021623489,0.9957070909850549,0.06093759959346378,0.06967063885071091,4.53411412215123,-0.0732202459516641,0.05809687215923834,0.995622191912219,3.577677459019496,23.150514562489377,18.540836672922875,15.785911201702646,7.687084855283471,2.1949549578619316,4102.0,6775.7852348596725, 0.0, 0.0,0.0,NaN, 67.2479690321284,67.2479690321284,0.0, 20.548635644312366, -0.5308198947321138, 0.6008427587974221, -0.5308198947321138, 30.454111050702895, -1.0692092023940432, 0.6008427587974221, -1.0692092023940432, 12.906354144355534, 8.0, 0.0
181697, 0 ,1.0,1.0,1.0,184.9041797455807,101.1745415496448,154.64026102758962,6.05976109147731,7.807500374232415,5.78667194309749,26.0,31.0,27.0,0.1640264041311385,-0.9627977325928531,0.2147460473719362,7.934106923603942,-0.8957623141947962,-0.23655248013081914,-0.3763679059276193,6.084109115425017,0.41316487655195394,-0.13062714211839696,-0.9012387777530373,5.585418726727261,32.9997093010786,28.899629621381905,24.975524035865135,11.013248174660994,3.1419267018471375,12106.0,23818.642188147798, 0.0, 1.4210854715202004E-14,0.0,15.67754328583204, 109.78096805330978,109.78096805330978,0.0, 36.720704485782285, -3.7814746243525597, 3.080431421774655, -3.7814746243525597, 60.957062093639294, -6.047073480199633, 3.080431421774655, -6.047073480199633, 33.485572177031685, 11.0, 0.0
181761, 0 ,1.0,1.0,1.0,68.44270082940696,152.09010552548577,110.4033332035357,8.050679430004758,8.915010658809686,7.92252572562599,36.0,36.0,35.0,-0.1580536015053622,0.9874016948649623,0.007546656808452535,8.936876078709897,0.8500489760067779,0.13217076225161753,0.5098505937974922,8.082216953596047,0.5024298930607267,0.08699875047164081,-0.8602298646148947,7.865575838639221,37.172276971042976,36.680884355492935,35.40199409580649,13.89375650226745,3.7444356664655136,25681.0,48271.04351885034, 0.0, 0.0,0.0,NaN, 122.50438353960826,122.50438353960826,NaN, 64.81343928470173, -2.4210275970268986, 1.4758967644952845, -2.4210275970268986, 79.47741504669031, 0.36695171399160337, 1.4758967644952845, 0.36695171399160337, 62.76641387320562, 15.0, 0.0
182333, 0 ,1.0,1.0,1.0,27.10661938534279,116.17044917257684,20.40401891252955,4.4954117574830255,3.986742395523877,5.7236709706494295,19.0,17.0,24.0,-0.05794291704890886,0.32171983456222597,0.9450602977657652,5.92432744441516,0.9695805503606965,0.24364223807136445,-0.023495024788786588,4.536292043578048,-0.23781542154812502,0.9149507133593751,-0.32605063624697495,3.6314804150041744,26.072474243147347,19.495567910218597,16.59365902800073,7.9356382001148305,2.4267050778204893,4230.0,8434.518588998591, 0.0, 1.4210854715202004E-14,0.0,71.23303488047186, 90.43498434904619,90.43498434904619,0.0, 20.208726869316624, 1.3373823695432316, -1.3681353497756121, 1.3373823695432316, 15.894114928267463, 6.61931497968466, -1.3681353497756121, 6.61931497968466, 32.760409380254984, 8.0, 0.0
182399, 0 ,1.0,1.0,1.0,130.77487497844456,147.42507328849803,177.41860665632007,6.1208245976214375,6.068929154036139,7.119800267171757,25.0,24.0,30.0,6.484864907766567E-4,-0.47429766753834435,0.8803643007488193,7.507310121699224,0.999533440928208,0.027190718292660652,0.013912774883035963,6.12130477019765,-0.03053653437258634,0.879944536551262,0.47409401247231187,5.581923801250276,32.78603120888209,25.093924739008813,25.703366316723503,10.76662091594112,3.0112829040787226,11598.0,21146.935701344573, 0.0, 0.0,0.0,NaN, 89.81180422590216,89.81180422590216,9.5367431640625E-7, 37.46449375484763, 0.16380982551028425, 0.10217123466561064, 0.16380982551028425, 36.831901076709805, -10.520756235183635, 0.10217123466561064, -10.520756235183635, 50.69155584441902, 12.0, 0.0
182605, 0 ,1.0,1.0,1.0,74.29601990049751,170.67350746268656,139.3855721393035,3.93392997577871,4.523335804711277,4.207827436734228,16.0,19.0,18.0,0.30980438314037134,0.7516087211539346,0.5823277208517224,5.078162822901985,0.9472280375162705,-0.19093943931610563,-0.25749014632938144,3.793140002729678,-0.08234251107471216,0.6313687201619975,-0.7710987291332494,3.669677759372707,22.68552031297409,16.7820785033784,16.550149373600448,7.046308857951227,1.9979276944386128,3216.0,6300.810393098069, 0.0, 0.0,0.0,NaN, 100.26988881252339,100.26988881252339,0.0, 15.47580505433028, 2.702369681443528, 1.9981142174698647, 2.702369681443528, 20.460566802183013, 5.43807548080494, 1.9981142174698647, 5.43807548080494, 17.70581173733335, 8.0, 0.0
182798, 0 ,1.0,1.0,1.0,146.91755206119848,182.64683382915428,160.30514237144072,3.345141614062911,4.275446006166823,3.720865448301374,14.0,18.0,16.0,0.2644183176390729,-0.9031397486740327,0.3382625425049718,4.4393695298629785,0.10597285481603233,-0.32141287811914454,-0.9409907097422953,3.6176816749700573,-0.9585680504476782,-0.284661827690636,-0.010720844965024606,3.2432434583386174,19.343764001718718,16.874861456104554,14.054052209622824,6.337010188782027,1.7766689397348914,2353.0,4587.570628628243, 0.0, 0.0,0.0,NaN, 68.5168619938198,68.5168619938198,0.0, 11.189972418135417, -2.2819865011236793, 0.5657448449041552, -2.2819865011236793, 18.27943855164784, -2.0303555840768195, 0.5657448449041552, -2.0303555840768195, 13.844839684362986, 8.0, 0.0
182809, 0 ,1.0,1.0,1.0,181.42763945662497,159.27635327635326,45.91490152359717,8.927790058322271,8.230095980692651,73.48505234146964,199.0,34.0,198.0,-0.006593022960537017,-0.016745730246615593,0.9998380431683672,73.4968142805874,-0.9379595616745464,0.3467444564964635,-3.775609417502768E-4,9.03153282212624,-0.34668197632922093,-0.9378101419836955,-0.01799291196515588,8.008903688590848,198.51487657838732,190.91338444958964,86.08274500200343,59.742199508329605,44.47878629989969,24219.0,3262462.6027912376, -2.8421709430404007E-14, 0.0,-7.105427357601002E-15,76.20846289402547, 64.12118339945953,64.12118339945953,0.0, 79.70543532547799, -5.078210945257478, -35.17930695238844, -5.078210945257478, 67.73447985141334, -89.37047094832367, -35.17930695238844, -89.37047094832367, 5400.052917628533, 16.0, 0.0
182942, 0 ,1.0,1.0,1.0,38.710243002153184,121.92535630062545,75.52824771865068,70.23667211933717,6.18404010610554,5.783195210465992,199.0,26.0,24.0,0.9999943277954922,0.0011669758212367474,0.003159516462154878,70.23706782506736,-5.500002591793462E-4,0.9820452571542153,-0.1886446670346831,6.198474835284239,-0.0033229319217945668,0.18864185926867924,0.982040328629685,5.7629005135252065,199.0780578110418,26.960939405792317,25.445417684033842,52.78862520837511,47.09818316968559,9753.0,136573.99068719198, 0.0, 0.0,0.0,NaN, 115.31976892762098,115.31976892762098,0.0, 4933.190110399275, 5.715375464530664, 15.48219297169123, 5.715375464530664, 38.24235203392182, -0.9471378715084817, 15.48219297169123, -0.9471378715084817, 33.44534684235679, 11.0, 0.0
182947, 0 ,1.0,1.0,1.0,26.282115171650055,68.5952380952381,140.35714285714286,4.280694145801896,4.694729676704575,4.062471934115033,18.0,19.0,17.0,0.3035810089506026,-0.9203272034955382,0.24665037910089876,4.726717814692054,0.7409010055990191,0.390783164981831,0.5462181046698705,4.514836175250376,-0.5990861965584726,0.01692207058447019,0.800505698056071,3.7607047655497943,20.844295330988558,21.455385379871657,17.97635305790699,7.271478710869366,1.9985256265755558,3612.0,8039.427565425509, 0.0, 0.0,0.0,NaN, 94.62202003445894,94.62202003445894,NaN, 18.324342369902624, -0.4838171702789653, 3.1395546590729237, -0.4838171702789653, 22.040486737330642, -0.5290302167378687, 3.1395546590729237, -0.5290302167378687, 16.503678215472338, 9.0, 0.0
183208, 0 ,1.0,1.0,1.0,39.89840575179743,57.180577263728246,15.435135979993747,6.095809885200405,6.02052738425584,5.832299783228013,26.0,25.0,25.0,-0.6754661176366646,0.7003297897188042,0.23083264404600032,6.399605483082384,-0.5907255872237026,-0.3265580042932577,-0.7378368047415472,5.987045361894018,-0.44134884674604435,-0.6347425111526881,0.6342815936250366,5.533688317754099,29.62610747318633,28.338823897962264,26.815034424241098,10.006485632996222,2.700298905521867,9597.0,22513.0727752189, 0.0, 0.0,0.0,NaN, 71.41249624868995,71.41249624868995,0.0, 37.158898156506964, -3.8805811365911085, 0.6653389163794865, -3.8805811365911085, 36.24674998457447, 2.928926679865667, 0.6653389163794865, 2.928926679865667, 34.01572076144153, 11.0, 0.0
