// Sample: .//bubblelabels.tif, Map: .//bubblelabels.tif, Thickness:(8.191250068658265):/gpfs/home/mader/Foam/NewValid/InSilicoTest/LatticeData_OldFoam/out_Step_07000.vtk/distmap.tif, Neighbors:(1.0):
//LACUNA_NUMBER, TRIANGLES, SCALE_X, SCALE_Y, SCALE_Z, POS_X, POS_Y, POS_Z , STD_X, STD_Y, STD_Z,PROJ_X, PROJ_Y, PROJ_Z, PCA1_X, PCA1_Y, PCA1_Z, PCA1_S, PCA2_X, PCA2_Y, PCA2_Z, PCA2_S, PCA3_X, PCA3_Y, PCA3_Z, PCA3_S,PROJ_PCA1, PROJ_PCA2, PROJ_PCA3,OBJ_RADIUS, OBJ_RADIUS_STD, VOLUME, VOLUME_BOX, Mask_Grad_X,Mask_Grad_Y,Mask_Grad_Z,Mask_Angle, Mask_Distance_Mean,Mask_Distance_COV, Mask_Distance_STD, SHAPET_XX, SHAPET_XY, SHAPET_XZ, SHAPET_YX, SHAPET_YY, SHAPET_YZ, SHAPET_ZX, SHAPET_ZY, SHAPET_ZZ, Thickness, Thickness_STD, Neighbors, Neighbors_STD
1, 0 ,1.0,1.0,1.0,78.87006330188642,135.9007585959065,39.6020392448002,18.00200668155671,17.268298093971516,18.969571743805243,97.0,91.0,87.0,0.390755766807348,-0.38842246370688327,0.8345285617608759,19.500081052030524,0.8402133558503162,-0.21978890425855746,-0.49571600157305085,17.901590187691983,-0.37596734879182236,-0.894885929743394,-0.2404739598995085,16.77471083162441,96.38907518205008,91.33999622445003,89.76849048237449,30.160158966214386,8.5132735713861,253231.0,790337.7477415523, 0.0, 0.0,0.0,NaN, 162.04266285312988,162.04266285312988,0.0, 324.07224456281244, -22.22129375613649, 15.963225273804834, -22.22129375613649, 298.1941190622603, -27.788715251051723, 15.963225273804834, -27.788715251051723, 359.8446521433743, 7.932253758239183, 6.224946560409842, 42.0, 0.0
2, 0 ,1.0,1.0,1.0,54.678534404060095,259.76195670674156,13.820637794179083,18.794857210144436,19.83758393132273,9.235527779201293,110.0,95.0,38.0,-0.23280960342922336,0.9723571912142663,-0.017921530208946462,19.905978977409184,-0.9704647109847411,-0.2310794835849981,0.06928576332402515,18.759405256846165,0.06322921227114925,0.03352260371738685,0.9974358634797411,9.160135506789569,105.64408056082101,112.99026426511645,41.566041128793195,27.149874549418648,9.744520465019772,129258.0,496163.5487099641, 0.0, 0.0,0.0,NaN, 69.2809662294343,69.2809662294343,0.0, 353.2466575497183, -10.603847923698881, -16.71746320054683, -10.603847923698881, 393.52973623227376, -9.733809866398055, -16.71746320054683, -9.733809866398055, 85.29497336039877, 8.033359182743217, 6.052927352365431, 25.0, 0.0
3, 0 ,1.0,1.0,1.0,259.73879933235236,140.42821689763468,126.62734719873498,17.44207730669042,16.79450675291117,15.236408418903633,89.0,88.0,76.0,0.7880040495193585,0.5051089632393599,-0.35201499001654907,18.117038686094105,0.571647659322698,-0.8125862793656389,0.11367714008360962,16.506082839150576,0.22862320864683253,0.29080659181312685,0.929065635262687,14.756415483017875,98.89234562684629,95.5986502298274,76.64325006290545,27.402706069147147,8.217138153989472,182132.0,724583.3516181629, 0.0, 0.0,-1.4210854715202004E-14,69.38938946923129, 193.32752892135846,193.32752892135846,0.0, 304.2260607725649, 18.563863365422797, -27.090139084370744, 18.563863365422797, 282.0554570735788, -24.69584182199575, -27.090139084370744, -24.69584182199575, 232.14814150763752, 6.797549716079897, 5.64485270349519, 40.0, 0.0
4, 0 ,1.0,1.0,1.0,77.76640842357574,17.377288875572486,261.930984890639,16.668400054817987,10.521588288874984,17.122517291091054,81.0,45.0,78.0,-0.5488423898459177,0.17061571887456645,0.8183289727127697,17.467962312124016,-0.8183386328589967,0.09008904245334359,-0.5676317876936667,16.526773136768067,0.17056937907693215,0.9812105996689776,-0.09017674876904426,10.171334290041596,94.65696773227324,91.5185630587732,48.820606324359034,24.786120473831918,8.20781400546782,116815.0,422926.5498157929, 0.0, 0.0,0.0,NaN, 88.31100927497229,88.31100927497229,0.0, 277.83556038745627, -31.394195252769357, -11.760357961641228, -31.394195252769357, 110.7038201205912, 19.480731951504662, -11.760357961641228, 19.480731951504662, 293.18059838371215, 7.689020607502642, 5.9095885148078455, 23.0, 0.0
5, 0 ,1.0,1.0,1.0,188.19216044187894,113.18343072528359,236.20206360306756,15.989181500397496,14.98285705073445,16.295943156258865,81.0,88.0,82.0,0.08716884989900664,0.11601116007644362,-0.9894154851956798,16.3064736678519,0.925477805088663,0.3580960749477271,0.12352341233670061,16.17059679219575,-0.36863589610285535,0.9264494653486236,0.07615093078679434,14.775263439658122,81.82749482713771,83.54966368190418,84.53095284227442,26.290968299750666,7.38123835605945,168734.0,577909.3563950735, 2.8421709430404007E-14, 0.0,0.0,84.99924614647378, 171.41078923424467,171.41078923424467,0.0, 255.65392505265353, 14.791496925121177, 0.831547226605962, 14.791496925121177, 224.48600540274302, -3.5528587633703967, 0.831547226605962, -3.5528587633703967, 265.5577633520201, 6.996609811238054, 5.680455974258189, 39.0, 0.0
6, 0 ,1.0,1.0,1.0,274.6886525401023,206.00756031359575,208.46715515534171,15.272679899313776,16.128933435837208,17.42076580556885,62.0,88.0,88.0,-0.32576116676677797,0.32908436130487545,0.8863312842111069,17.961098172723112,-0.17427978816349307,-0.9423046452011783,0.28581202051343096,15.896171847519971,-0.92925035252317,0.0613631711765629,-0.3643190134466226,14.885932935525519,93.72517441969289,85.10794925914249,74.51938035069765,27.044054169422484,8.093173692591169,171686.0,594423.0178223802, 0.0, 2.8421709430404007E-14,0.0,70.78679061965806, 133.61700757685864,133.61700757685864,0.0, 233.25475130690302, -5.721630598866874, -30.713859536167035, -5.721630598866874, 260.1424937776675, 21.087203572850402, -30.713859536167035, 21.087203572850402, 303.48308125247684, 7.74373974916555, 5.976670231835456, 34.0, 0.0
7, 0 ,1.0,1.0,1.0,263.483767934577,279.8464538284683,27.429760484269956,18.254016244775883,11.646264839771273,16.00998888498418,80.0,50.0,68.0,-0.9878483768493705,0.1466082541014734,0.051590737399094255,18.381270244863074,-0.05143867540856034,0.004830727277333425,-0.9986644715549786,16.003220548927633,-0.14666167539025723,-0.9891828364378803,0.002769308295025623,11.45382792465659,82.46457664412574,70.18384656291197,56.966580349747346,25.65936513852968,8.170759974908519,137444.0,329704.40578052885, 0.0, 0.0,0.0,NaN, 49.91985965293077,49.91985965293077,0.0, 333.2091090645418, -29.96396031480964, -4.116478015479511, -29.96396031480964, 135.63548471809258, 0.96064335482136, -4.116478015479511, 0.96064335482136, 256.31974409731697, 7.1445152444086775, 5.742967949499751, 18.0, 0.0
8, 0 ,1.0,1.0,1.0,277.0725274102615,206.76380428931637,285.0759412981273,13.10345566890223,15.93359135760987,8.903950455896712,53.0,83.0,39.0,0.03959005539681697,0.9870651905104412,-0.1553542313432854,16.074409326401906,0.9978949980021157,-0.047048973614506655,-0.04463145801089969,13.108059396825698,0.051363415735659675,0.15326024848083586,0.9868500877841367,8.640159801521154,82.48067158792207,55.343350246023306,44.45252792680117,21.300815487232853,7.150907447174115,70594.0,202914.97451766525, 0.0, 0.0,0.0,NaN, 97.16678814333143,97.16678814333143,0.0, 171.700550466886, 2.617889934536964, -5.457713395563574, 2.617889934536964, 253.87933355129996, -27.970645590206438, -5.457713395563574, -27.970645590206438, 79.28033372106329, 6.982003120613084, 5.683754428767885, 12.0, 0.0
9, 0 ,1.0,1.0,1.0,154.17544017005858,178.02543703079172,15.353589078939107,16.845471326440222,16.520362258892884,9.639737977322747,82.0,78.0,41.0,-0.7379642061248054,-0.6746222603726952,0.017135818866377477,18.43310989288406,-0.6739666802971789,0.738063018721589,0.032123110758077736,14.734776379056902,0.034318279790601786,-0.012156734973297847,0.9993370149589196,9.62931183327539,86.64177021435788,74.28957091142563,41.92157271247926,24.286633079119564,7.731511839650993,111491.0,269831.553648706, 0.0, 0.0,-1.7763568394002505E-15,89.01814184492689, 190.73103826784572,190.73103826784572,2.6973983046972182E-6, 283.76990420991973, 61.12075819283847, -5.817206791436533, 61.12075819283847, 272.92236916505243, 0.09313057889991162, -5.817206791436533, 0.09313057889991162, 92.92454827143844, 8.631437493704896, 5.9473726944415235, 17.0, 0.0
10, 0 ,1.0,1.0,1.0,44.060688266538385,256.53396945997014,213.40767319489976,17.136026682796498,20.864363043593908,14.3518940083822,85.0,89.0,78.0,0.19969273267139231,-0.9763245177975265,-0.08314594677829405,21.024077760270796,0.9229813179491652,0.21591235964579872,-0.3185707765458174,17.303745165876176,0.3289806973593641,-0.013125886621879137,0.9442454192980424,13.910804249961306,94.45359996338868,89.71785969745073,80.27375365528616,29.171992021004346,9.16170283532097,201637.0,680253.8226898471, 0.0, 0.0,2.8421709430404007E-14,85.23058200156275, 106.43716983718217,106.43716983718217,1.3486991523486091E-6, 293.64341047351354, -27.343152220484757, -35.26700306434876, -27.343152220484757, 435.32164521488727, 12.887915622884357, -35.26700306434876, 12.887915622884357, 205.97686162783685, 7.510176933239712, 5.463967664094288, 32.0, 0.0
