// Sample: .//bubblelabels.tif, Map: .//bubblelabels.tif, Thickness:(8.191250068658265):/gpfs/home/mader/Foam/NewValid/InSilicoTest/LatticeData_OldFoam/out_Step_07000.vtk/distmap.tif, Neighbors:(1.0):
//LACUNA_NUMBER, TRIANGLES, SCALE_X, SCALE_Y, SCALE_Z, POS_X, POS_Y, POS_Z , STD_X, STD_Y, STD_Z,PROJ_X, PROJ_Y, PROJ_Z, PCA1_X, PCA1_Y, PCA1_Z, PCA1_S, PCA2_X, PCA2_Y, PCA2_Z, PCA2_S, PCA3_X, PCA3_Y, PCA3_Z, PCA3_S,PROJ_PCA1, PROJ_PCA2, PROJ_PCA3,OBJ_RADIUS, OBJ_RADIUS_STD, VOLUME, VOLUME_BOX, Mask_Grad_X,Mask_Grad_Y,Mask_Grad_Z,Mask_Angle, Mask_Distance_Mean,Mask_Distance_COV, Mask_Distance_STD, SHAPET_XX, SHAPET_XY, SHAPET_XZ, SHAPET_YX, SHAPET_YY, SHAPET_YZ, SHAPET_ZX, SHAPET_ZY, SHAPET_ZZ, Thickness, Thickness_STD, Neighbors, Neighbors_STD
1, 0 ,1.0,1.0,1.0,79.00273873110503,136.12825508027055,39.859942653089014,18.43327179313927,17.543948626926454,19.156645292901427,99.0,93.0,88.0,0.4446611239168641,-0.4110885470067194,0.795790607758659,19.828062117778874,0.8403957574200078,-0.11587176232264801,-0.5294418812359823,18.211166907612395,-0.3098571538426108,-0.9042012725141174,-0.29395340276378595,17.022163605682053,99.85124534198675,93.37644011162628,93.6494483663364,30.641271822764136,8.698572433766406,264356.0,873164.4029530033, 0.0, 0.0,0.0,NaN, 162.36117019325152,162.36117019325152,0.0, 339.78550899974385, -22.98006421900044, 17.94841956119399, -22.98006421900044, 307.7901334242346, -31.255664163677178, 17.94841956119399, -31.255664163677178, 366.9770588780423, 7.68572415852539, 6.210897569788833, 46.0, 0.0
2, 0 ,1.0,1.0,1.0,58.210723212389524,258.29855586231685,14.42143008837992,18.911354341785415,18.18090697153223,9.14641062250359,100.0,95.0,38.0,0.8117047457718585,0.5725360865100222,-0.115489546432703,19.847883291132145,0.5678651452232544,-0.8198565911426744,-0.0732417012397038,17.31023694671925,0.13661838284804573,0.006131851572102509,0.9906047737944143,8.84639781682665,106.3047354188518,97.99944980978147,42.653220960298924,26.222032104097604,9.178592536723615,122426.0,444352.96346259804, 0.0, 0.0,0.0,NaN, 73.04434533810104,73.04434533810104,0.0, 357.6393230405661, 43.63589315883867, -38.80063102135032, 43.63589315883867, 330.5453783075093, -7.57966192769834, -38.80063102135032, -7.57966192769834, 83.6568272754465, 8.045637364982984, 6.1992253176921555, 28.0, 0.0
3, 0 ,1.0,1.0,1.0,258.5638969697597,140.54150921909456,127.49924425165385,17.008625850636115,17.444761698931053,15.514299838386364,92.0,88.0,79.0,0.32362711890025303,0.9100123888764757,-0.2591195477065582,17.63908744719229,0.9380909959624331,-0.34433574464377786,-0.03765870755649792,16.959512855294918,0.12349401283678586,0.2308903355533637,0.9651108131927251,15.347445431607307,92.81517769506956,96.7670189133826,80.5662798572584,27.740904161485332,8.046663894938726,193186.0,723601.857560245, 0.0, 0.0,1.4210854715202004E-14,74.98217435703818, 194.22904966213582,194.22904966213582,0.0, 289.29335332692705, 5.439475998258186, -8.178994187168886, 5.439475998258186, 304.3197107324919, -17.14971032918526, -8.178994187168886, -17.14971032918526, 240.69349947535514, 6.45065741052957, 5.624303961294696, 48.0, 0.0
4, 0 ,1.0,1.0,1.0,78.82738322251149,17.090934717362828,261.87600112756394,16.72695192728817,10.414648011174858,16.90895253259731,79.0,46.0,78.0,0.5721793058172739,-0.022947182246014334,0.8198074583836324,17.044409980213405,-0.8121931545732839,0.12286410680179494,0.5703040337610238,16.669948554285515,0.1138117817221059,0.992158171909482,-0.051662755002752074,10.284424794220753,92.34213838055302,85.06416682805278,47.83162136854548,24.771751838947928,7.7800257424784185,120614.0,375717.72375462006, 0.0, 0.0,0.0,NaN, 89.21488488614078,89.21488488614078,0.0, 279.7909207778094, -19.601180121582086, 6.933990610342743, -19.601180121582086, 108.46489319666841, 8.58484935109466, 6.933990610342743, 8.58484935109466, 285.91267574962905, 7.449556876840046, 5.923475484986206, 23.0, 0.0
5, 0 ,1.0,1.0,1.0,188.62891915853953,113.32732673951341,236.65643818581677,15.685677234913742,15.433987408939895,16.759338790869577,77.0,92.0,85.0,-0.19166875946188314,-0.13171352510889037,0.9725814279276217,16.79976094222731,-0.7611114646311932,-0.6057021150656124,-0.23202216750130417,16.040506572037643,-0.6196550855542962,0.7847142760957224,-0.015845498990699706,15.019788798807493,86.49305826622432,85.65830821339605,79.24531534876864,26.611220854594112,7.547635324555481,173698.0,587116.5788067381, 0.0, 0.0,0.0,NaN, 171.0526452792438,171.0526452792438,1.9073486328125E-6, 246.0404703178912, 16.045511015222388, -4.95934679901305, 16.045511015222388, 238.20796733931525, -2.7999024139184487, -4.95934679901305, -2.7999024139184487, 280.87543670714575, 6.847576111388499, 5.667642873939986, 39.0, 0.0
6, 0 ,1.0,1.0,1.0,276.94388799485034,206.23560991309947,208.72368844544576,13.63094320387715,16.550840655332323,16.892930843928184,56.0,89.0,82.0,-0.14753698523164982,0.6097609619792234,0.7787325646426557,17.6132520567518,-0.09392486503899067,-0.7924283334619695,0.6026901824769446,15.889472857190743,-0.9845866938549208,-0.015776741515832842,-0.17418420339106316,13.505630523200061,87.63970727023408,85.31379161333781,61.161149596350015,26.160505468665335,7.793074178214411,155350.0,457294.3146142452, 0.0, 0.0,-2.8421709430404007E-14,38.85532374726736, 132.87102844550617,132.87102844550617,0.0, 185.80261262732466, -6.2839278299806915, -18.65268495539761, -6.2839278299806915, 273.9303263982013, 27.230103350626084, -18.65268495539761, 27.230103350626084, 285.3711124977402, 8.247574668822466, 6.035392324356826, 35.0, 0.0
7, 0 ,1.0,1.0,1.0,263.7323173966441,279.3115829863306,28.72063921166801,17.25989090896641,11.722989293222959,16.420486571906018,77.0,52.0,72.0,-0.8981276439431869,0.10811254013984563,0.42623750873142263,17.586981966225448,0.4210095732779751,-0.06843785585071861,0.9044706734299641,16.15129694788937,-0.1269554031672411,-0.9917801866094452,-0.015949515841455,11.610269748690056,88.78360986059334,84.25785430464782,57.66706977928317,25.384435427283535,7.7842873440433795,137607.0,431390.9983443539, 0.0, 0.0,0.0,NaN, 50.677712228119105,50.677712228119105,0.0, 297.9038341894213, -20.5764375409573, -18.797919107590257, -20.5764375409573, 137.42847796902015, 0.23791575399893475, -18.797919107590257, 0.23791575399893475, 269.6323792581459, 7.076857355395692, 5.775080000376093, 24.0, 0.0
8, 0 ,1.0,1.0,1.0,276.3846919046151,206.68924258133214,285.0376327514221,13.40464524596097,16.001855172580324,8.57912141595926,54.0,95.0,38.0,0.16109968860343515,0.9770653404438472,-0.13924873728413187,16.180597747343086,0.9860129994437122,-0.16544626919462335,-0.020146884066629518,13.330355927083607,0.04272300621316595,0.13405540836881286,0.9900524694313836,8.356738287155663,94.59330391680331,59.98343404214518,43.932833874386176,21.401745502941388,7.1631345674505065,71374.0,249276.27038543465, 0.0, 2.8421709430404007E-14,0.0,12.294682683708558, 97.40868883301296,97.40868883301296,0.0, 179.684514170064, 12.622095811421, -6.449313229688707, 12.622095811421, 256.05936896423566, -25.759874822392767, -6.449313229688707, -25.759874822392767, 73.60132426977081, 6.9203940970334585, 5.682495901355188, 22.0, 0.0
9, 0 ,1.0,1.0,1.0,155.25692348864465,179.49515055877006,14.955602927198399,17.051030767724495,16.166285959604057,9.457428792494175,82.0,77.0,40.0,-0.7897004102648438,-0.6134906439152155,-0.001578561380530954,18.31513808788468,-0.613110863295481,0.7891155568826604,0.03730559200494508,14.724819255557446,-0.021640964317880918,0.03042807444226024,-0.9993026573311655,9.448006458907454,89.13446241468665,73.43443899001535,41.24064468771104,24.121602419843175,7.725134823007305,108363.0,269942.2581728794, 0.0, 0.0,0.0,NaN, 188.93291665493757,188.93291665493757,0.0, 290.7376502418874, 57.554206816840505, -2.61062300874037, 57.554206816840505, 261.34880172769124, 3.993440282552506, -2.61062300874037, 3.993440282552506, 89.44295936509785, 8.790219787732015, 5.95248784100176, 18.0, 0.0
10, 0 ,1.0,1.0,1.0,47.97826240519904,249.73707463990084,213.6811798023388,15.43949540937641,16.34123482580397,14.621722792262693,84.0,73.0,75.0,-0.3821158471316024,-0.8634997999427122,-0.3291740798875183,17.266639180516133,-0.7876047582563465,0.11798310946012705,0.6047799026539176,15.794389415500723,-0.4833903434522251,0.49035505644483407,-0.7251797670068602,13.099968929099873,80.68830154492548,75.7786991234172,73.42592561609605,25.778208985705607,7.395450833537588,155721.0,448959.48317621736, 0.0, 0.0,0.0,NaN, 110.81161513800437,110.81161513800437,0.0, 238.37801849615522, 34.51420808790111, -21.168809642688814, 34.51420808790111, 267.03595563206846, 41.51958659812858, -21.168809642688814, 41.51958659812858, 213.7947774137743, 7.5558783504272125, 5.513550473548127, 33.0, 0.0
