// Sample: .//bubblelabels.tif, Map: .//bubblelabels.tif, Thickness:(8.191250068658265):/afs/psi.ch/project/tipl/test/LabelValidation/Step3500//distmap.tif, Neighbors:(1.0):
//LACUNA_NUMBER, TRIANGLES, SCALE_X, SCALE_Y, SCALE_Z, POS_X, POS_Y, POS_Z , STD_X, STD_Y, STD_Z,PROJ_X, PROJ_Y, PROJ_Z, PCA1_X, PCA1_Y, PCA1_Z, PCA1_S, PCA2_X, PCA2_Y, PCA2_Z, PCA2_S, PCA3_X, PCA3_Y, PCA3_Z, PCA3_S,PROJ_PCA1, PROJ_PCA2, PROJ_PCA3,OBJ_RADIUS, OBJ_RADIUS_STD, VOLUME, VOLUME_BOX, Mask_Grad_X,Mask_Grad_Y,Mask_Grad_Z,Mask_Angle, Mask_Distance_Mean,Mask_Distance_COV, Mask_Distance_STD, SHAPET_XX, SHAPET_XY, SHAPET_XZ, SHAPET_YX, SHAPET_YY, SHAPET_YZ, SHAPET_ZX, SHAPET_ZY, SHAPET_ZZ, Thickness, Thickness_STD, Neighbors, Neighbors_STD
1, 0 ,1.0,1.0,1.0,162.65714950522414,165.44066705565254,213.0221462098681,23.107547951489725,29.02467980313043,31.84545380052745,110.0,148.0,144.0,0.2850684042297804,0.09110878858122448,0.9541672775531282,32.74289076428978,-0.34950161560377285,0.9368162316160998,0.014965589562813113,29.91121976512454,0.8925158965532429,0.3377492217961007,-0.2988993770081984,20.58508621129342,148.84979229078613,149.74686312586425,92.42275406707356,46.85686776685706,13.962724692789548,846646.0,2060083.7306220187, 0.0, 0.0,0.0,NaN, 211.0317978750967,211.0317978750967,0.0, 533.958772330397, -137.35393334611416, 173.89018721730125, -137.35393334611416, 842.4320376742475, 62.96564029446205, 173.89018721730125, 62.96564029446205, 1014.1329277615282, 4.730260202911049, 3.4177703166114863, 13.0, 0.0
2, 0 ,1.0,1.0,1.0,180.7761986684039,178.8556906969586,82.33361689836777,33.83957167659461,22.477659972307094,30.635693354321752,152.0,109.0,145.0,-0.9842747626814927,-0.13160958987073657,0.11782235527414744,34.089234720604594,-0.09603704131810714,-0.16111579577168364,-0.9822517941178431,30.74770220015385,0.14825679830333297,-0.9781209619504712,0.14594281602713877,21.94106656387184,152.89307248486307,143.68764040712068,98.29320580795564,48.75261694184497,14.563305178001569,948636.0,2159388.1852498786, 0.0, 0.0,0.0,NaN, 188.86260337090042,188.86260337090042,0.0, 1145.1166112553842, 95.35308829636394, -35.16516464774551, 95.35308829636394, 505.2451978306566, 62.87784582551783, -35.16516464774551, 62.87784582551783, 938.545707300034, 4.649109408336581, 3.371457263851082, 11.0, 0.0
3, 0 ,1.0,1.0,1.0,56.19194428262167,214.39520627009298,203.69065689257127,36.0621169196197,30.753042676266638,25.31296498052512,142.0,149.0,122.0,-0.962487575775762,0.22220641898781562,0.1556983424378964,36.50264974828027,0.2515469360391764,0.9458635209072164,0.2051008015252658,30.748502092937308,0.10169466773926616,-0.23657241423635,0.9662772311173359,24.67910628594347,151.11841234792723,143.67961552172284,105.8437744630036,51.402825396853984,15.643581683788986,1112328.0,2298147.2826242205, 0.0, 0.0,0.0,NaN, 140.5745527525719,140.5745527525719,0.0, 1300.4762767243215, -74.6688292614204, -91.0485159951431, -74.6688292614204, 945.7496338482772, 90.29014006723118, -91.0485159951431, 90.29014006723118, 640.7461961052911, 5.022604752785385, 3.654951797832793, 5.0, 0.0
4, 0 ,1.0,1.0,1.0,255.20745365810225,96.87702966660545,186.70607856558541,25.813713858121847,34.10928934176727,25.068159600465496,110.0,144.0,119.0,-0.28427018577834723,0.9495934813863377,0.13214643992979794,35.00073066405906,0.6871596985605516,0.10568202851589134,0.7187787263984219,25.30673269902207,-0.6685820893141807,-0.29513306991481336,0.6825646203041454,24.345886744705858,159.10512029152687,127.58886225467677,120.64496104240774,47.51521342514433,14.160104571243686,898485.0,2449097.6890095905, 0.0, 0.0,0.0,NaN, 155.65038939496011,155.65038939496011,0.0, 666.3478231489919, -167.22696769303656, -0.18963233460073278, -167.22696769303656, 1163.4436194003986, 82.97208356564242, -0.18963233460073278, 82.97208356564242, 628.4126257544103, 4.749448380809295, 3.5095417803667535, 8.0, 0.0
5, 0 ,1.0,1.0,1.0,51.66117253557591,102.09066694819857,55.60419123906766,31.768154441709672,34.03703648818266,33.96501772793136,128.0,149.0,129.0,-0.32449742479682786,0.6286521360404039,0.7067516629991506,34.77458698559802,0.12014968204616908,0.7685266421873209,-0.6284352426085658,33.59705185660777,0.9382246400539858,0.11900963028310023,0.3249172705404381,31.35799938316176,177.84713101553493,167.1342480941778,147.68105950239394,55.409530447466835,15.847455769968999,1487102.0,4389722.986792785, 0.0, 0.0,0.0,NaN, 127.21323480294556,127.21323480294556,NaN, 1009.2156366323179, -32.66297574352359, -62.800125046017214, -32.66297574352359, 1158.5198528978779, 30.146842846720197, -62.800125046017214, 30.146842846720197, 1153.6224292586915, 5.146807919236884, 3.88793353293337, 7.0, 0.0
6, 0 ,1.0,1.0,1.0,86.18620107424087,20.23633705602734,79.01628936842886,53.70089969131693,13.480186768647654,36.84747161840238,221.0,59.0,167.0,0.994230303721851,-0.03259692104642593,0.10219365880254022,53.88148723089852,-0.10122167852628156,0.030195535499540696,0.9944055517907261,36.636946511009306,0.03550035151204966,0.9990123474583231,-0.02672180136764436,13.332580837161155,233.2488336569144,178.20169350017738,64.58445655713227,61.68419475425467,24.865605666520814,984323.0,2684474.7123898785, 0.0, 0.0,0.0,NaN, 118.66399866265212,118.66399866265212,1.3486991523486091E-6, 2883.786627656882, -91.88816915616225, 159.70338542528975, -91.88816915616225, 181.71543531762327, 25.88719106600544, 159.70338542528975, 25.88719106600544, 1357.736164668969, 4.537842109154985, 3.2467824138556862, 7.0, 0.0
7, 0 ,1.0,1.0,1.0,245.17752703518167,269.6745349661402,86.16506427141502,34.29385481984464,20.889774650032624,36.283816150490786,129.0,100.0,167.0,-0.6498130853684753,0.0221243369879463,0.7597719840825579,40.99054540893361,-0.7176879583715974,0.3113470071446863,-0.6228860534242642,29.297669999103263,0.25033367430753506,0.9500387122927628,0.18643898908972495,19.758243785269475,206.0099571093774,144.98244791762727,109.40464367266338,50.93647872008451,18.287744895808633,835208.0,3267679.066173077, 0.0, 0.0,0.0,NaN, 106.53429341012766,106.53429341012766,1.3486991523486091E-6, 1176.0684784045814, -123.11041159627628, -427.6067738930253, -123.11041159627628, 436.3826849291456, -69.07279433870491, -427.6067738930253, -69.07279433870491, 1316.515314442616, 4.9538920326304074, 3.6512480522276354, 4.0, 0.0
8, 0 ,1.0,1.0,1.0,175.816357146173,94.64556014617219,112.00038277761354,33.92511929414473,29.89272912406962,30.772121841183402,162.0,140.0,133.0,0.9046908684121846,0.08529808853414604,0.4174430125227007,34.786248548926764,0.23524574406163581,0.7168776990518059,-0.6563122766664321,30.122653937826705,0.3552377689836682,-0.6919614156111662,-0.6284866957962568,29.56273140035966,159.99918299437797,143.2260520978552,147.388934504011,52.65366051613436,14.798800305109197,1227867.0,3377572.3869712665, -2.8421709430404007E-14, 0.0,0.0,25.21831963602868, 192.15474220055435,192.15474220055435,0.0, 1150.913719121951, 31.57435431671261, 121.78130718728221, 31.57435431671261, 893.5752544850001, -3.755043838840818, 121.78130718728221, -3.755043838840818, 946.9234826086366, 4.5734745280035, 3.1852361480241664, 10.0, 0.0
9, 0 ,1.0,1.0,1.0,191.53407231945664,232.50702310466278,206.53841332898165,20.444077041698684,31.963634805370887,25.131359831768613,100.0,152.0,110.0,-0.2504540252103469,0.9299035056067,0.2693552515105386,33.87171767094439,0.5574499210871129,-0.08895403405409552,0.8254312601940121,27.156068429074487,0.7915316587072857,0.35688464534898884,-0.49609573993153777,13.655554640772307,166.27253882521285,117.66989176610304,67.55860868598526,42.93149840426491,15.103176083747913,499423.0,1321802.5310507517, 0.0, 0.0,0.0,NaN, 158.28843160780784,158.28843160780784,0.0, 417.96028608691125, -251.09448755596216, 188.7071642467219, -251.09448755596216, 1021.6739499711172, 200.20478335048418, 188.7071642467219, 200.20478335048418, 631.5852469938329, 4.908505821288274, 3.4668097714373394, 5.0, 0.0
10, 0 ,1.0,1.0,1.0,233.46779426158295,16.9686286854868,224.56459705710924,41.05611807667863,11.127183976669164,42.810665878552115,171.0,50.0,172.0,0.5114623858776796,0.07699368422082596,0.8558494028872227,43.7960752219242,-0.8566215219184852,-0.032976251910733306,0.5148904106661707,40.157238913460056,-0.06786601519442242,0.9964860959391372,-0.04908833447578816,10.558036074227724,191.38431630775946,191.82016131213635,52.92411457661163,56.783387491746794,20.440623099679865,727448.0,1942916.7747306668, 0.0, 0.0,0.0,NaN, 102.00474879652063,102.00474879652063,NaN, 1685.6048315261776, 113.54794367823727, 128.72371891853584, 113.54794367823727, 123.81422325064297, 93.55954194587049, 128.72371891853584, 93.55954194587049, 1832.7531129650265, 4.872024046436723, 3.5603413992579824, 4.0, 0.0
