// Sample: .//bubblelabels.tif, Map: .//bubblelabels.tif, Thickness:(8.191250068658265):/afs/psi.ch/project/tipl/test/LabelValidation/Step3500//distmap.tif, Neighbors:(1.0):
//LACUNA_NUMBER, TRIANGLES, SCALE_X, SCALE_Y, SCALE_Z, POS_X, POS_Y, POS_Z , STD_X, STD_Y, STD_Z,PROJ_X, PROJ_Y, PROJ_Z, PCA1_X, PCA1_Y, PCA1_Z, PCA1_S, PCA2_X, PCA2_Y, PCA2_Z, PCA2_S, PCA3_X, PCA3_Y, PCA3_Z, PCA3_S,PROJ_PCA1, PROJ_PCA2, PROJ_PCA3,OBJ_RADIUS, OBJ_RADIUS_STD, VOLUME, VOLUME_BOX, Mask_Grad_X,Mask_Grad_Y,Mask_Grad_Z,Mask_Angle, Mask_Distance_Mean,Mask_Distance_COV, Mask_Distance_STD, SHAPET_XX, SHAPET_XY, SHAPET_XZ, SHAPET_YX, SHAPET_YY, SHAPET_YZ, SHAPET_ZX, SHAPET_ZY, SHAPET_ZZ, Thickness, Thickness_STD, Neighbors, Neighbors_STD
1, 0 ,1.0,1.0,1.0,79.94192512689622,138.20846205817304,39.86484613652244,15.726521903990541,15.63693302092392,16.457956277434022,85.0,83.0,80.0,0.10254828845197236,-0.42738339594851493,0.8982356491495347,16.702749498279065,0.9932900208630441,0.09253293879573093,-0.06937283107758271,15.716768999487392,-0.05346758821439753,0.8993225717757451,0.4340047567771522,15.385149389654162,90.8640789260204,84.15205295697156,92.55789966344338,26.571989344738817,7.525348669053866,173173.0,707734.6112203869, 0.0, 0.0,0.0,NaN, 164.5645658547682,164.5645658547682,0.0, 247.32349119669428, -0.9049996077966468, 3.183716616302771, -0.9049996077966468, 244.51367430086083, -16.29674340415898, 3.183716616302771, -16.29674340415898, 270.86432482992996, 6.823565141875403, 5.501562039884433, 54.0, 0.0
2, 0 ,1.0,1.0,1.0,60.66627151894087,263.25260430326364,12.410771796943026,16.170634965229496,18.79019913049907,8.09631823430036,90.0,89.0,33.0,-0.48801810457264744,-0.8725986252306481,0.020247687643364688,19.85654390067834,0.8656913564354846,-0.4868560780918693,-0.11640289780711759,14.918883404002138,0.11143071839583217,-0.0392784733739267,0.9929956679297258,7.953362169032577,91.08281232184137,72.6054782654841,38.65462074846398,24.564083699550704,8.758834368520004,95323.0,255627.30348586506, 0.0, 0.0,0.0,NaN, 72.00551955994881,72.00551955994881,0.0, 261.4894351787027, 73.81864658157359, -19.325173647446842, 73.81864658157359, 353.071583363808, 3.180124690802877, -19.325173647446842, 3.180124690802877, 65.55036895106451, 7.451249655669226, 5.481762549298175, 21.0, 0.0
3, 0 ,1.0,1.0,1.0,76.76579552124474,14.993851908594396,260.1445895800794,15.228090813690649,9.51364378798935,17.250642334707077,78.0,40.0,78.0,-0.0668663699634362,0.015790538784957578,0.9976369817988875,17.259832012201738,0.9924789133150563,-0.10170472651805823,0.06813042806890696,15.268294594254886,-0.10254021256501435,-0.9946893019876955,0.008871150903567368,9.432189990048396,80.24236865260548,80.64316866923855,41.596767347715826,23.647469347405167,7.796539128247998,100519.0,269172.63448904845, 0.0, 0.0,0.0,NaN, 87.78528747350965,87.78528747350965,1.3486991523486091E-6, 231.89474983000952, -14.771543075118831, -4.1903030482373245, -14.771543075118831, 90.50941812474836, 2.2925353053700306, -4.1903030482373245, 2.2925353053700306, 297.58466095998807, 6.6949901642337, 5.2170180168679465, 33.0, 0.0
4, 0 ,1.0,1.0,1.0,157.42914950200762,174.63597017260258,13.03661678051833,16.752350478893508,16.66414417822821,8.654611127809732,76.0,86.0,38.0,-0.7392940685092851,0.6554857956659526,0.15421625059364388,17.300525436707293,-0.6622979838651314,-0.7491819318270345,0.009370890677773518,16.26380346477177,-0.12167851427088722,0.09520926795268334,-0.987992679355846,8.33173199324069,83.5609356778323,79.17704461603913,41.38409568558988,23.82748892079673,8.09246645117792,95885.0,273801.64373739157, 0.0, 0.0,0.0,NaN, 190.29592944508187,190.29592944508187,0.0, 280.6412465676835, -14.602310440970133, -27.420886936450177, -14.602310440970133, 277.69370119277716, 21.869177751722827, -27.420886936450177, 21.869177751722827, 74.90229377360802, 8.2124217863705, 5.393600241108111, 24.0, 0.0
5, 0 ,1.0,1.0,1.0,16.739868066185583,166.37021648808224,12.571944019243386,10.507457128502685,16.277721666261407,8.750632275441108,45.0,81.0,44.0,0.1098190972065921,-0.9931341675785037,0.04030249467317418,16.34689206363563,0.9881618439387724,0.10471947259217278,-0.11211602135084155,10.434366852885207,0.10712579555015816,0.05213786769872075,0.9928774882529952,8.709049971773403,80.24235510049293,51.98139198769276,46.68411848333332,19.952800891322212,7.336905326011436,54876.0,194724.56144478996, 0.0, 0.0,0.0,NaN, 135.2597353270303,135.2597353270303,0.0, 110.40665530732187, -17.45437276099948, -2.8121674160890056, -17.45437276099948, 264.964222644276, -8.047645868776042, -2.8121674160890056, -8.047645868776042, 76.57356521999161, 7.092132255078183, 5.147352655567606, 17.0, 0.0
6, 0 ,1.0,1.0,1.0,189.7199969269478,114.25395895554638,234.96990329488818,13.1758137536898,13.407628391946185,13.629946911619422,64.0,71.0,73.0,0.6057859281421069,-0.23094205729751519,0.7613732169154606,14.376236664171401,-0.09123604181422203,-0.9707976900680152,-0.22187345409642822,13.355012026354968,0.7903792722099177,0.06494313766517218,-0.6091658189123244,12.41408446618818,69.64608551858004,68.41544954921775,73.00830304826707,22.36514382587236,6.240381529204971,104131.0,347874.9451881418, 0.0, 0.0,0.0,NaN, 171.59417149858052,171.59417149858052,3.3036247397782844E-6, 173.6020680719213, -5.206569789333956, 24.736115761579214, -5.206569789333956, 179.76449909652143, -4.020331050631662, 24.736115761579214, -4.020331050631662, 185.77545281356385, 6.350630230443862, 4.82546357307256, 38.0, 0.0
7, 0 ,1.0,1.0,1.0,122.13493208376497,186.87286158254994,115.3477911491059,12.89649387904253,13.328090285930868,14.365925007463517,66.0,72.0,77.0,0.002333018432022386,-0.43126920300237476,0.9022202788491801,14.659023211264854,0.44560364683398224,-0.8072482842065052,-0.3870240271273985,13.040598075566596,-0.895227315799318,-0.4029355806916908,-0.190291804498771,12.860528242856082,74.00014109216659,70.4702406025136,68.1960573968048,22.53072764711472,6.53480359717889,103289.0,355629.32845396525, 0.0, 0.0,0.0,NaN, 202.533463913015,202.533463913015,NaN, 166.31955437218147, -1.7275031404698205, -0.7001729636757374, -1.7275031404698205, 177.63799066992476, -17.80086753313297, -0.7001729636757374, -17.80086753313297, 206.37980132006564, 6.120530580987895, 4.65675536272221, 38.0, 0.0
8, 0 ,1.0,1.0,1.0,261.1201356034637,141.26044175000237,126.8812997535341,13.9882996610565,13.430792835004846,13.43814272071329,69.0,72.0,64.0,-0.8150620915124769,-0.30337954362913755,0.493593597493609,14.381012548284923,0.30226734059964977,-0.9494748253091208,-0.08445123392248094,13.332201153674283,0.49427547156026475,0.08036422469974025,0.8655826648000108,13.117975981477784,78.49174491466445,67.81266876820241,65.08824268318463,22.65770011086907,6.578071833927247,105897.0,346447.4478225786, 0.0, 0.0,0.0,NaN, 193.81697677459792,193.81697677459792,0.0, 195.67252740751337, 6.962148692186404, -14.117745502369916, 6.962148692186404, 180.3861961768175, -4.746671267386877, -14.117745502369916, -4.746671267386877, 180.5836797822596, 6.1413374188999486, 4.632656082732151, 34.0, 0.0
9, 0 ,1.0,1.0,1.0,23.24371503539779,133.2479132630328,191.87994455171048,13.308932025083509,13.408221081527318,13.442648567591275,59.0,66.0,68.0,0.47440291759385345,-0.6261145626267061,0.6188072609829398,14.281168530318622,-0.852982304131562,-0.15316046029405198,0.49896198476529785,13.02637858856963,-0.21763055993322905,-0.7645406646276459,-0.6067244115031689,12.805254820075326,89.1342586144771,74.20247031345122,65.18423248902138,22.284215059319937,6.405202879002868,100995.0,431127.3520180289, 0.0, 0.0,0.0,NaN, 173.1624181736346,173.1624181736346,0.0, 177.12767164829341, -11.128225526573505, 9.3048175137798, -11.128225526573505, 179.78039257111357, -15.92546216828302, 9.3048175137798, -15.92546216828302, 180.70480051176375, 6.214242097822308, 4.672786622007605, 37.0, 0.0
10, 0 ,1.0,1.0,1.0,46.98600171040194,248.42794256650313,213.86049421614078,13.438422453005995,14.772460770359334,13.13115981697684,63.0,72.0,65.0,0.03389308925368478,-0.8891100403459188,-0.4564368462963084,15.279277963670701,-0.8395069401583837,-0.2731335589644428,0.4697085866719124,14.042620329030076,-0.5422908407181056,0.36726202515846285,-0.7556713895270581,11.857176416830708,72.78990225229711,67.28966184568212,64.18664195785902,22.98617854081706,6.548263087714991,111085.0,314386.67991921003, 0.0, -2.8421709430404007E-14,0.0,27.238372865770597, 110.84843671131004,110.84843671131004,1.3486991523486091E-6, 180.59119802545567, 10.180406451734326, -23.756330121023623, 10.180406451734326, 218.2255972118055, 30.424466183130885, -23.756330121023623, 30.424466183130885, 172.42735813898724, 6.908741823917419, 4.920339578332187, 41.0, 0.0
