// Sample: .//bubblelabels.tif, Map: .//bubblelabels.tif, Thickness:(8.191250068658265):/gpfs/home/mader/Foam/NewValid/InSilicoTest/LatticeData_Phi_6.65/out_Step_03000.vtk/distmap.tif, Neighbors:(1.0):
//LACUNA_NUMBER, TRIANGLES, SCALE_X, SCALE_Y, SCALE_Z, POS_X, POS_Y, POS_Z , STD_X, STD_Y, STD_Z,PROJ_X, PROJ_Y, PROJ_Z, PCA1_X, PCA1_Y, PCA1_Z, PCA1_S, PCA2_X, PCA2_Y, PCA2_Z, PCA2_S, PCA3_X, PCA3_Y, PCA3_Z, PCA3_S,PROJ_PCA1, PROJ_PCA2, PROJ_PCA3,OBJ_RADIUS, OBJ_RADIUS_STD, VOLUME, VOLUME_BOX, Mask_Grad_X,Mask_Grad_Y,Mask_Grad_Z,Mask_Angle, Mask_Distance_Mean,Mask_Distance_COV, Mask_Distance_STD, SHAPET_XX, SHAPET_XY, SHAPET_XZ, SHAPET_YX, SHAPET_YY, SHAPET_YZ, SHAPET_ZX, SHAPET_ZY, SHAPET_ZZ, Thickness, Thickness_STD, Neighbors, Neighbors_STD
1, 0 ,1.0,1.0,1.0,156.08707855313475,182.0307862330281,183.77560256815073,15.898577202984939,11.57240171835783,9.216561978368638,74.0,54.0,41.0,-0.9540442948699857,-0.2996594307318758,-0.0019258762888595283,16.303560646282527,-0.26655801454422107,0.8515585943094935,-0.4514363580172538,11.543051602726756,0.13691715856047676,-0.4301769241034289,-0.8923012415438176,8.51951426204623,78.9301171512243,66.82751989832606,45.612216609670384,20.44611114848584,7.320300008555408,57006.0,240590.94023681286, 0.0, 0.0,0.0,NaN, 50.144475123669295,50.144475123669295,0.0, 252.76475707927239, 41.471304373910975, 7.6544733686225666, 41.471304373910975, 133.92048153105122, -23.207648010859987, 7.6544733686225666, -23.207648010859987, 84.94501470111042, 9.749155341156891, 6.4082011791172, 12.0, 0.0
2, 0 ,1.0,1.0,1.0,185.24045223135994,35.862185217346884,16.009586078902114,8.599427379711233,16.448018304468086,10.229322678723118,36.0,74.0,48.0,0.011294092807497914,0.9992730010264342,0.03641308675846022,16.455260589280158,-0.26274252009549637,0.03810148296930477,-0.9641133984803906,10.337750235113262,0.9647998816342817,-0.001321520020015815,-0.26298182823783356,8.45469212235327,74.5813911709207,55.35515902080357,39.49818512759552,20.015642955216872,6.964232689805338,58731.0,163066.86570945248, 0.0, 0.0,0.0,NaN, 41.95530270795144,41.95530270795144,0.0, 73.95015125892722, 1.8949485001213462, 9.04603404324368, 1.8949485001213462, 270.5373061441172, 5.951705057339892, 9.04603404324368, 5.951705057339892, 104.63904246543912, 8.59712387535722, 5.890868924775918, 14.0, 0.0
3, 0 ,1.0,1.0,1.0,171.10364667636938,187.2793427549341,79.07958486921748,16.21677367993947,7.363269756490349,15.638452820287576,64.0,29.0,65.0,-0.8844515147811095,-0.016139999959822307,0.4663528904195806,16.440327179073655,-0.4656377861044613,-0.034681148703120904,-0.8842955784557378,15.412260780605912,0.030446184541518394,-0.9992680913178049,0.02315840065580644,7.344423502303801,71.65560233068094,78.22207345272439,30.01313238373561,22.54602858946325,7.310218296924875,73519.0,168225.1013289758, 0.0, 0.0,0.0,NaN, 85.14925190063808,85.14925190063808,0.0, 262.98374858637754, 6.053202685120893, -13.636317641745702, 6.053202685120893, 54.21774150684545, 4.00222480638859, -13.636317641745702, 4.00222480638859, 244.56120661236042, 8.528979193091832, 5.5575690016153425, 12.0, 0.0
4, 0 ,1.0,1.0,1.0,56.12795812479912,79.67532944579641,30.731172230129943,13.040832020920453,13.558918633433086,15.108285492303944,66.0,67.0,66.0,0.07728485259340845,0.5527539166143981,0.8297530712368938,16.297206021202626,0.9568871561373956,-0.2748413610293793,0.09396380519543428,13.099142579389019,0.2799893247588241,0.7867180777984963,-0.550164197386686,12.040822414195778,79.49233040729544,63.50220730762214,69.9293809023288,23.15061548328103,6.798298873126706,108895.0,352999.21028422704, 0.0, 0.0,0.0,NaN, 102.19056097406113,102.19056097406113,0.0, 170.06329979786423, -1.8444835896756149, 10.127111861383542, -1.8444835896756149, 183.84427450805896, 54.634029057315296, 10.127111861383542, 54.634029057315296, 228.26029051696182, 8.506599319845177, 5.319793370426048, 23.0, 0.0
5, 0 ,1.0,1.0,1.0,13.234167181215893,106.64511122607347,138.20766650534853,7.869333410518788,15.206668838141482,12.006428612250351,32.0,76.0,57.0,-0.00894009321334623,0.9991711425228801,-0.039712752144128505,15.211666719069816,0.011774393066956497,-0.03960640069525578,-0.9991459836739935,12.001134663653627,-0.9998907132288217,-0.009400051781301797,-0.011410548859163663,7.867749100770151,75.70559974282375,57.07870671449216,32.396630859508704,19.867297445758666,6.5279403874152235,59923.0,139991.59961459672, 0.0, 0.0,0.0,NaN, 112.73229758009367,112.73229758009367,NaN, 61.92640832590725, -1.5523288340747565, -0.905978946365345, -1.5523288340747565, 231.2427771529032, -3.4755396775412604, -0.905978946365345, -3.4755396775412604, 144.15432802106392, 9.445142194939804, 5.416466742788111, 16.0, 0.0
6, 0 ,1.0,1.0,1.0,51.66340619239306,187.66190135811294,120.91984876415485,14.615859831350038,7.184698877031808,12.006327629882989,65.0,28.0,54.0,-0.952610653208231,0.014509550126045146,0.3038460405358721,14.883764517419133,0.3038929442726868,0.0010919445225729104,0.952705561061988,11.674103564082179,-0.01349154607392227,-0.9998941347024192,0.005449547892791325,7.182201576430754,65.72482264677998,57.2233420720961,28.37326520071366,19.26446732448089,6.18671628761038,53162.0,106711.68043407868, 0.0, 0.0,0.0,NaN, 95.26282872653569,95.26282872653569,1.9073486328125E-6, 213.62335860967156, -2.320829485307692, -24.66673989342417, -2.320829485307692, 51.61989795362212, 0.8373342178044932, -24.66673989342417, 0.8373342178044932, 144.1519031560917, 10.073194786273332, 5.434937324784942, 11.0, 0.0
7, 0 ,1.0,1.0,1.0,56.71180787191461,149.66645945782037,11.793089332282127,13.003944947904005,16.840065547787773,8.192900408901657,60.0,86.0,32.0,-0.2723556528429888,0.9592143019404643,-0.0756988858394724,17.157809082696247,0.9522958240065419,0.279974721596172,0.1214364807084276,12.690291158968394,-0.13767738356088763,0.03901382088457872,0.9897084721451131,8.023721502796732,93.93792920884036,58.54331797299291,36.042290616218985,21.26737362667019,8.216619012443594,65956.0,198212.3447627051, 0.0, 0.0,0.0,NaN, 76.73833078463059,76.73833078463059,0.0, 169.1025842081181, -34.317331836766755, 15.920614379708045, -34.317331836766755, 283.58780765378873, -13.414910361136652, 15.920614379708045, -13.414910361136652, 67.12361711018094, 8.434411905483618, 5.300844097019571, 18.0, 0.0
8, 0 ,1.0,1.0,1.0,26.800016285318787,51.686100480416904,50.00412222131748,13.64763594098733,12.999820444827026,13.239363734013034,64.0,66.0,65.0,0.774138855279677,-0.12696538838275734,0.6201522578359986,14.747967602318047,-0.21854457308231875,0.865835349061274,0.45007490253535437,13.37232108912478,0.5940936814363023,0.48395138027363616,-0.6425291893826337,11.585013195818878,74.50961996697228,66.37351860510148,61.91999119949531,22.148622930871554,6.322385050199039,98248.0,306223.1893481217, 0.0, 0.0,0.0,NaN, 76.74702661920891,76.74702661920891,NaN, 186.25796677772914, -16.62707126619136, 35.59864825140901, -16.62707126619136, 168.99533159774273, 10.824638967769541, 35.59864825140901, 10.824638967769541, 175.28075208149954, 7.945130561579978, 5.1076017832837515, 21.0, 0.0
9, 0 ,1.0,1.0,1.0,88.31552367623047,180.19534639608116,84.84175414042454,14.713709547060377,12.582765946768788,12.393168825823683,70.0,58.0,60.0,-0.966119207099448,-0.15579817871143842,-0.20576832891320487,14.914036457025084,-0.015168011306160124,-0.7616027685275253,0.6478666177572545,13.144923481073665,-0.25765016807009905,0.6290374793932448,0.7334359143183828,11.540900497232988,70.76981264571975,67.44314257636385,62.28635825259833,21.89382302251949,7.005026374706582,85740.0,297288.96133785736, 0.0, 0.0,0.0,NaN, 124.05635522697852,124.05635522697852,1.3486991523486091E-6, 216.49324863525567, 13.889203335045764, 17.350735073933876, 13.889203335045764, 158.32599887116422, -16.67688990083927, 17.350735073933876, -16.67688990083927, 153.59063354536795, 8.317996723112914, 5.108716425616323, 20.0, 0.0
10, 0 ,1.0,1.0,1.0,187.7489054339371,20.084387154128237,111.24080453383709,7.432997572173669,11.128429850043595,13.507262337601789,30.0,44.0,69.0,0.014591928849139525,-0.34788407549873,0.937423994586684,13.849485315324678,0.036190613368934255,-0.9367257593809512,-0.3481882985055082,10.704522434826593,-0.999238367516201,-0.03900668822874394,0.001078497558459356,7.425799326333631,76.45426869492209,55.94768108612878,30.812468941666538,18.05688409246129,5.957052674224004,44995.0,131798.45765049892, 0.0, 0.0,0.0,NaN, 91.82410742949828,91.82410742949828,0.0, 55.249452907939656, -2.708958638352268, 1.1203602538791737, -2.708958638352268, 123.8419509273413, -25.1805608359813, 1.1203602538791737, -25.1805608359813, 182.44613585679573, 9.276727975534193, 5.3430178872992045, 10.0, 0.0
