// Sample: .//bubblelabels.tif, Map: .//bubblelabels.tif, Thickness:(8.191250068658265):/afs/psi.ch/project/tipl/test/LabelValidation/SmallStep0500//distmap.tif, Neighbors:(1.0):
//LACUNA_NUMBER, TRIANGLES, SCALE_X, SCALE_Y, SCALE_Z, POS_X, POS_Y, POS_Z , STD_X, STD_Y, STD_Z,PROJ_X, PROJ_Y, PROJ_Z, PCA1_X, PCA1_Y, PCA1_Z, PCA1_S, PCA2_X, PCA2_Y, PCA2_Z, PCA2_S, PCA3_X, PCA3_Y, PCA3_Z, PCA3_S,PROJ_PCA1, PROJ_PCA2, PROJ_PCA3,OBJ_RADIUS, OBJ_RADIUS_STD, VOLUME, VOLUME_BOX, Mask_Grad_X,Mask_Grad_Y,Mask_Grad_Z,Mask_Angle, Mask_Distance_Mean,Mask_Distance_COV, Mask_Distance_STD, SHAPET_XX, SHAPET_XY, SHAPET_XZ, SHAPET_YX, SHAPET_YY, SHAPET_YZ, SHAPET_ZX, SHAPET_ZY, SHAPET_ZZ, Thickness, Thickness_STD, Neighbors, Neighbors_STD
1, 0 ,0.3333333432674408,0.3333333432674408,0.3333333432674408,19.334279992718006,283.2297287456763,76.29740275502154,13.291570735408136,11.55511102524565,31.97117701760242,58.0,58.0,146.0,0.11248901359396027,0.018784095200185966,0.9934754046216584,32.14467441176268,-0.8226381271234677,-0.5590256347777267,0.10371524219781852,13.896083286197833,-0.5573264156878363,0.8289375714906821,0.047431729334694084,10.293754396516565,145.44187507396603,78.78820004169765,51.74472640931316,33.26109948384379,15.034688704345506,164790.0,592948.1779752054, 0.0, 0.0,0.0,NaN, 80.4757730496724,80.4757730496724,0.0, 176.665852614358, 42.03289133027233, 96.19779277769806, 42.03289133027233, 133.52059080575356, 12.252874712684118, 96.19779277769806, 12.252874712684118, 1022.1561598908694, 4.780004776630401, 4.826244363957078, 9.0, 0.0
2, 0 ,0.3333333432674408,0.3333333432674408,0.3333333432674408,211.2401976288896,191.42606549092747,17.417129291320833,37.182133647426724,27.060189087358903,11.082057032940382,159.0,167.0,53.0,-0.8678517702327497,0.49111749762898943,0.07507934753659898,41.1309552585884,0.4967704491103081,0.8555915412989409,0.14554118093668672,20.951821208148726,0.007240565905036134,0.16360537271233355,-0.9864992935755368,10.33646901402168,167.186804544522,135.82577515527962,64.87052276964656,43.078706839947536,19.539751817706083,275061.0,1473097.821140726, 0.0, 0.0,0.0,NaN, 141.31510239351465,141.31510239351465,0.0, 1382.5110625751024, -534.3483980677715, -79.25571533277659, -534.3483980677715, 732.253833443618, 99.79901167316582, -79.25571533277659, 99.79901167316582, 122.81198808134337, 2.6374512070083713, 3.153826316723882, 23.0, 0.0
3, 0 ,0.3333333432674408,0.3333333432674408,0.3333333432674408,51.533930439902186,135.9917195911384,274.7656798766537,26.180506138800787,25.384375901455492,14.887103413064693,110.0,117.0,71.0,-0.8954455195013575,0.42180580284519803,0.14232774252078373,26.96179476326894,-0.3799263632369476,-0.8907307484745691,0.24950890212471524,25.34888692259408,0.23201999940197285,0.16934756687963284,0.9578560024708603,13.48728455065602,126.66858035859089,124.49870898342135,69.84621946210211,37.39427662902076,12.372524601458954,343099.0,1101480.1000648574, 7.105427357601002E-15, 0.0,0.0,26.434287170747098, 147.60170966498666,147.60170966498666,0.0, 685.4189016837857, -49.96800079166727, -113.13068724270029, -49.96800079166727, 644.3665399063943, -69.6585379248268, -113.13068724270029, -69.6585379248268, 221.62584803128246, 2.9819424471144518, 3.2388766248132685, 21.0, 0.0
4, 0 ,0.3333333432674408,0.3333333432674408,0.3333333432674408,23.895050730407497,92.01836858577657,150.54255520430124,15.383681656200935,22.3805406472006,18.37005292346678,60.0,103.0,82.0,-0.11589442145525351,-0.9893573837022199,-0.08797982944658532,22.50500390203163,0.25551628386601594,0.05589902329145979,-0.9651874055717689,18.53019835180409,0.959833272894232,-0.1343401150399948,0.24631853713471796,15.005387491952362,105.4230036991921,89.02448576860509,70.49057638703462,31.306002436173046,9.743680866990992,253694.0,661570.1800586245, 0.0, 0.0,0.0,NaN, 177.132383858672,177.132383858672,0.0, 236.6576612993331, 33.94405095743843, -26.28386350361214, 33.94405095743843, 500.88859966099835, 18.108909523867617, -26.28386350361214, 18.108909523867617, 337.4588444109704, 2.569664854116413, 3.274696406591677, 18.0, 0.0
5, 0 ,0.3333333432674408,0.3333333432674408,0.3333333432674408,278.96261623883146,83.66180809599884,212.94864416216976,12.873685362720346,21.431990315152778,18.72177526282542,60.0,106.0,91.0,0.0995615052690448,0.9826776145298459,0.15630806943499193,21.575745091007803,0.058803299929732086,0.15100329732100853,-0.9867827400778537,18.654030289779282,-0.9932923429614952,0.10743700526408696,-0.04275057091956345,12.73111269271913,103.71189477066518,94.59173513013516,68.63857910364615,29.530330358582567,10.1747944250435,192169.0,673364.2344080337, 0.0, 0.0,0.0,NaN, 122.55532710825325,122.55532710825325,0.0, 165.7317748183201, 31.337413575350908, -6.064479392300333, 31.337413575350908, 459.33020886880246, 18.9079840354017, -6.064479392300333, 18.9079840354017, 350.50486899174183, 3.049130159275844, 3.362726609926875, 14.0, 0.0
6, 0 ,0.3333333432674408,0.3333333432674408,0.3333333432674408,96.85449251433543,182.00354760257926,282.37534304647585,15.225132890117171,15.004369858083182,10.529913373383977,77.0,80.0,45.0,-0.7468469170983189,-0.6615459830445759,0.0676505339101084,16.33348086337887,0.6382102587234365,-0.741627594026432,-0.20658213242855927,13.951868036688708,0.18683508257525322,-0.11110996398231722,0.976087715230013,10.3139538094425,81.72851118705864,70.98436359238289,50.92160603639624,22.61512742437726,7.508053914965342,89638.0,295418.9656779595, 0.0, 0.0,0.0,NaN, 153.67037460524276,153.67037460524276,0.0, 231.80467152172767, 37.469089798750915, -19.743082182163963, 37.469089798750915, 225.1311148381551, 6.345898401472788, -19.743082182163963, 6.345898401472788, 110.8790756509707, 2.74724070810711, 3.0978514375513613, 10.0, 0.0
7, 0 ,0.3333333432674408,0.3333333432674408,0.3333333432674408,241.660237496548,228.1881368003372,287.07024607200475,14.42354325053318,19.748679948119683,7.673768568365585,78.0,93.0,34.0,-0.48671901586911986,-0.8720697148468656,0.05098050645395527,21.753663240907013,0.8718031232193101,-0.48861097284342087,-0.03490890376484226,11.2245343691174,0.055352632606340144,0.027454137464366632,0.9980893529136735,7.597608007248984,115.09156884329335,60.37816586763903,36.93998099765389,23.53116224900504,10.159728679699125,68801.0,256696.58672506775, 0.0, 0.0,0.0,NaN, 93.42189316110425,93.42189316110425,0.0, 208.0385999000013, 147.27976171632238, -12.387435180023873, 147.27976171632238, 390.0103596932645, -17.308037167425127, -12.387435180023873, -17.308037167425127, 58.8867240408356, 3.2079425858327832, 3.3476285042594154, 8.0, 0.0
8, 0 ,0.3333333432674408,0.3333333432674408,0.3333333432674408,216.88505658187447,263.300396556727,290.1481961504981,19.321825819961095,12.816793786168436,5.731770253316556,93.0,69.0,24.0,-0.9427866882065218,-0.33330918381831154,0.007632071995840867,20.0819604878199,-0.3306572422661363,0.9377238551240729,0.1064883076595803,11.641196473386724,-0.04265030688673233,0.09787215903217156,-0.9942846633680162,5.626166887369627,99.79257434716251,60.01031185656248,26.871725760312273,22.105614666875958,9.044232770692744,51695.0,160923.57370740885, 0.0, 0.0,0.0,NaN, 91.38934703443705,91.38934703443705,0.0, 373.3329530169152, 84.57672804604064, -6.331200666867953, 84.57672804604064, 164.27020295716585, 9.42610817252951, -6.331200666867953, 9.42610817252951, 32.85319023680454, 3.621879920964431, 3.4526406446482887, 6.0, 0.0
9, 0 ,0.3333333432674408,0.3333333432674408,0.3333333432674408,140.5152742399531,13.55766094302626,12.290512928585827,18.639606892195303,9.436235919604036,8.596632852558141,96.0,39.0,37.0,-0.9955837769475118,0.03166667265385285,0.08837513746501553,18.706721333239116,-0.013724438272711715,0.8821786443385589,-0.47071485983244826,9.775545790073215,-0.09286863234173956,-0.4698489771362886,-0.8778481393788782,8.054618010458379,95.57604258696112,51.8351413812771,41.11550247960531,20.89869209883102,8.580457935678151,54569.0,203694.32700299483, 0.0, 0.0,1.7763568394002505E-15,84.92986317849294, 141.7018319324878,141.7018319324878,0.0, 347.4349450955746, -9.358689189760044, -24.883132227564584, -9.358689189760044, 89.0425483304254, -11.94408178507567, -24.883132227564584, -11.94408178507567, 73.90209640168192, 3.8891172381586765, 4.004665569205801, 5.0, 0.0
10, 0 ,0.3333333432674408,0.3333333432674408,0.3333333432674408,115.95064006579919,85.1214332412426,118.70023409325769,14.059366035163771,14.703478820310623,12.191430552603752,71.0,69.0,59.0,-0.6566236962491273,-0.7534299327752937,-0.034476918689906454,16.915981065986802,0.4877520629434325,-0.3893271150231386,-0.7813592788226074,13.581345892763357,0.5752766696282404,-0.5298752059739874,0.6231284133109836,9.585701328817622,82.96486680052985,62.65338184708382,49.716415765651846,22.633731230756595,7.08542533817916,94834.0,258427.394767226, 0.0, 0.0,0.0,NaN, 186.493846822103,186.493846822103,0.0, 197.66577331071665, 78.52857022800136, -30.880445876051652, 78.52857022800136, 216.19228941932306, 33.205581375687224, -30.880445876051652, 33.205581375687224, 148.63097891896024, 2.461934629767636, 2.555763652977688, 15.0, 0.0
11, 0 ,0.3333333432674408,0.3333333432674408,0.3333333432674408,272.24703792338977,286.1504309142429,119.5079796215002,14.604757060832132,8.802522963269462,16.091789303073284,61.0,39.0,79.0,-0.5717144711257057,0.001867066756255815,0.8204505332847203,17.379935281437643,0.8189204241424376,0.06238530438490934,0.5705062775458052,13.059358938862903,0.05011888294668749,-0.9980503934464079,0.037195560402369904,8.781800272056778,87.43730197911836,71.25228819692427,40.778692078137,22.001864515908842,8.102282402071552,68111.0,254055.6492118796, 0.0, 0.0,0.0,NaN, 123.46738298473743,123.46738298473743,1.9073486328125E-6, 213.298928805926, 4.532936668628456, -61.8631831144947, 4.532936668628456, 77.48441051888621, 3.6697485104920453, -61.8631831144947, 3.6697485104920453, 258.94568297450377, 2.3683461020256447, 2.7058056114911286, 6.0, 0.0
12, 0 ,0.3333333432674408,0.3333333432674408,0.3333333432674408,100.88344785541005,286.3431026380298,161.00763974445277,26.301703297462733,8.867793654750875,19.491715020740596,129.0,39.0,104.0,0.9868694118560611,0.030076440980557652,0.15869521618755522,26.469131956848962,0.15882775247135228,-0.002054833514819743,-0.9873041692933973,19.278381419728824,-0.029368503328747513,0.9995454893886367,-0.006804825865511528,8.835914122892893,130.7581290970772,103.36811005667273,41.447436392170374,31.39808265171805,12.825939376771654,157466.0,560212.6968682928, 0.0, 0.0,0.0,NaN, 172.28713563745393,172.28713563745393,0.0, 691.7795963477621, 18.382164802025514, 51.460068917926584, 18.382164802025514, 78.63776430323986, 3.566987460953419, 51.460068917926584, 3.566987460953419, 379.9269544497646, 3.5091841835711013, 3.8319163499442945, 16.0, 0.0
13, 0 ,0.3333333432674408,0.3333333432674408,0.3333333432674408,255.65498406452076,86.71085559688873,166.3060739283262,12.538152532996063,17.39639261105917,11.241548084518879,65.0,82.0,50.0,0.08821702819531356,0.9811985607315218,0.1716599555947093,17.569843723729516,-0.897559509140598,0.15303555690951073,-0.4134816149149622,12.900534216899255,-0.4319776423470044,-0.11759890620148725,0.8941844405784176,10.539874600661719,85.48893580098648,68.09573090571962,55.86048704768895,23.045890269336887,7.422876117048916,97581.0,325188.0026876483, 0.0, 0.0,0.0,NaN, 165.40652582386394,165.40652582386394,NaN, 157.20526894067558, 9.50413887314587, 23.52858231566581, 9.50413887314587, 302.63447587811413, 29.782579353437367, 23.52858231566581, 29.782579353437367, 126.3724033365501, 2.749346279456048, 2.9806085343298894, 12.0, 0.0
