// Sample: .//bubblelabels.tif, Map: .//bubblelabels.tif, Thickness:(8.191250068658265):/afs/psi.ch/project/tipl/test/LabelValidation/SmallStep0500//distmap.tif, Neighbors:(1.0):
//LACUNA_NUMBER, TRIANGLES, SCALE_X, SCALE_Y, SCALE_Z, POS_X, POS_Y, POS_Z , STD_X, STD_Y, STD_Z,PROJ_X, PROJ_Y, PROJ_Z, PCA1_X, PCA1_Y, PCA1_Z, PCA1_S, PCA2_X, PCA2_Y, PCA2_Z, PCA2_S, PCA3_X, PCA3_Y, PCA3_Z, PCA3_S,PROJ_PCA1, PROJ_PCA2, PROJ_PCA3,OBJ_RADIUS, OBJ_RADIUS_STD, VOLUME, VOLUME_BOX, Mask_Grad_X,Mask_Grad_Y,Mask_Grad_Z,Mask_Angle, Mask_Distance_Mean,Mask_Distance_COV, Mask_Distance_STD, SHAPET_XX, SHAPET_XY, SHAPET_XZ, SHAPET_YX, SHAPET_YY, SHAPET_YZ, SHAPET_ZX, SHAPET_ZY, SHAPET_ZZ, Thickness, Thickness_STD, Neighbors, Neighbors_STD
1, 0 ,0.3333333432674408,0.3333333432674408,0.3333333432674408,15.859469707715148,271.2182869516704,72.6194576040396,11.27416959808286,21.887780895502868,29.292279141399472,52.0,88.0,134.0,0.06095795641334463,-0.04096819346273832,0.9972992202314753,29.357474650128452,0.22896626572911744,0.9730876462284576,0.025978489479248683,22.33357420824005,-0.971523842583378,0.22676428264160098,0.06869776859598971,10.176915800262998,133.69905346743104,98.52514128622988,52.923661715195294,35.36560310225508,14.61141975194281,211506.0,697148.4783253666, 0.0, 0.0,0.0,NaN, 79.70881637630322,79.70881637630322,1.9073486328125E-6, 127.10690012633584, 86.1627431045204, 48.449912240623796, 86.1627431045204, 479.0749525295404, -20.99106284511939, 48.449912240623796, -20.99106284511939, 858.0376172976667, 4.122989917370879, 4.57792700472829, 17.0, 0.0
2, 0 ,0.3333333432674408,0.3333333432674408,0.3333333432674408,208.2325385372398,185.3174241722161,15.679830890692369,32.24120037325793,26.552510161858148,9.548533735311947,158.0,173.0,43.0,-0.8213805278078053,0.5641867668501963,0.08382911576113367,36.59964626906058,0.5702821258391461,0.815051680002652,0.10231840437203543,20.430409826363974,-0.010598371882319269,0.1318485913310301,-0.9912132078808611,8.87522062852457,163.2397470086866,144.66786244803006,54.40997650443157,39.20934120444803,17.272314732303027,226599.0,1284921.2630789354, 0.0, 0.0,0.0,NaN, 147.71329418361535,147.71329418361535,0.0, 1039.4950015085674, -426.85407275366015, -67.05140062013905, -426.85407275366015, 705.0357958955801, 87.86836271869876, -67.05140062013905, 87.86836271869876, 91.17449649439031, 2.692693126346091, 3.2577589501901443, 24.0, 0.0
3, 0 ,0.3333333432674408,0.3333333432674408,0.3333333432674408,43.28038475231798,128.86195899910842,276.5929184151028,24.308226603117514,26.30462352593027,13.28711486219707,100.0,129.0,66.0,-0.6125607556079062,0.7904233081594163,-5.608987383971298E-4,29.049481077501117,-0.7904234790518807,-0.6125607688698205,1.67943845577957E-4,20.951156672219756,2.108378324439153E-4,-5.462233411466011E-4,-0.99999982859372,13.28710668334754,134.42247421744614,101.86487368617311,66.04245169577482,36.26858646878149,11.998339732952118,328627.0,904314.5595739055, 0.0, 0.0,0.0,NaN, 137.9365348619379,137.9365348619379,0.0, 590.8898805885101, -196.05573682653858, 0.19444936476803382, -196.05573682653858, 691.9332188409244, -0.32285189292817845, 0.19444936476803382, -0.32285189292817845, 176.54742136121828, 3.226899186479438, 3.464402271676259, 14.0, 0.0
4, 0 ,0.3333333432674408,0.3333333432674408,0.3333333432674408,21.694045594115178,92.29742207691798,150.9236895005412,13.393461663287411,20.51551907674321,15.744426029943714,53.0,87.0,69.0,0.040188869164459684,0.9965819920284694,-0.07217470443202566,20.544567515341683,0.2531621905376099,-0.08003204509489828,-0.964107762151165,15.877722238898558,0.9665887233345324,-0.02047449443811682,0.2555132775415452,13.190033034018013,86.64432247206469,80.32603834971032,60.47332537077335,27.849087653926336,8.519777354516318,181076.0,420881.9578097375, 0.0, 0.0,0.0,NaN, 176.6725561269077,176.6725561269077,0.0, 179.3848153259496, 8.353970048395768, -19.788081678303765, 8.353970048395768, 420.88652298821455, -11.817409384684549, -19.788081678303765, -11.817409384684549, 247.88695101236917, 2.6691278618475653, 3.389628026207544, 12.0, 0.0
5, 0 ,0.3333333432674408,0.3333333432674408,0.3333333432674408,275.9432045707583,82.25543739719689,211.3488731174716,15.104823937424595,21.273516458426037,18.581288862349506,73.0,113.0,93.0,-0.11697570295128906,-0.9926960452596609,-0.029516887452454375,21.352176145876044,0.11435894745100833,0.01605948960108613,-0.993309681786929,18.620059397574366,0.9865286189751159,-0.11956861845643946,0.1116451047895472,14.94524895543318,115.79216513096344,96.99434286346408,83.08964553308402,30.370235730286215,10.179945292600634,218257.0,933195.177709496, 0.0, 0.0,0.0,NaN, 123.30331984691533,123.30331984691533,1.9073486328125E-6, 228.15570618059502, 27.23111928586758, -13.208407376789486, 27.23111928586758, 452.56250250692347, 4.84653859820291, -13.208407376789486, 4.84653859820291, 345.26429578607383, 2.9658300265968656, 3.2509085200829233, 16.0, 0.0
6, 0 ,0.3333333432674408,0.3333333432674408,0.3333333432674408,92.52157257245051,176.25980063406902,265.0694833963338,16.299980338508952,15.034217650230966,20.07834330463054,82.0,76.0,84.0,0.02397763799141245,0.22570944749063981,0.9738995421447855,20.32848433123854,0.998353314103456,0.04537555091546789,-0.03509586297221179,16.30153328913208,-0.05211269610180668,0.973137351401429,-0.2242497763932281,14.692503750784098,91.92068762811351,82.51653204604402,74.53167836362849,28.55940885448253,8.900398593968147,196824.0,565321.0189332395, 0.0, 0.0,0.0,NaN, 158.40460637430522,158.40460637430522,1.9073486328125E-6, 265.68935903577847, 3.3273705773064592, 2.8617646907855665, 3.3273705773064592, 226.02770035451633, 43.30779765947518, 2.8617646907855665, 43.30779765947518, 403.1398698586021, 2.5284155240907085, 2.871322924042972, 18.0, 0.0
7, 0 ,0.3333333432674408,0.3333333432674408,0.3333333432674408,240.13975472977137,224.69738090836262,283.96217415418744,13.77410941260977,17.967942802438227,9.860426662065466,71.0,82.0,44.0,-0.47801614072454957,-0.8700453595066436,0.12050577416772665,19.580368097898468,0.8568824220286487,-0.49207044127161725,-0.15368537876152435,11.593780760080127,0.19301058008597624,0.02979518799590449,0.9807441882301234,9.591376619558002,97.93448033209893,60.42026011908217,48.590784563853106,23.092008270822387,8.74987009277776,81135.0,287522.6915022945, 0.0, 0.0,0.0,NaN, 97.52407530314129,97.52407530314129,0.0, 189.72609011054504, 103.30370860763047, -22.371973781159152, 103.30370860763047, 322.8469685516917, -27.343522992447312, -22.371973781159152, -27.343522992447312, 97.22801395797151, 2.9133381334538013, 3.3144944159679985, 11.0, 0.0
8, 0 ,0.3333333432674408,0.3333333432674408,0.3333333432674408,214.22785593697242,260.4309932470456,287.4021665728756,21.248194218101272,12.278088467411063,7.659976140507251,107.0,73.0,38.0,-0.9719909845566397,-0.23438141572875615,0.01728808553884442,21.686053139250085,0.228586225952554,-0.9599203013902529,-0.1621769166176699,11.580895622778842,0.054606439596281905,-0.1536826826282996,0.9866102420990711,7.517340236598879,111.73762206660942,69.08573507490428,43.59794996025454,23.781722778030655,9.76432845236896,71080.0,336553.3177292052, 0.0, 0.0,0.0,NaN, 95.29571028982198,95.29571028982198,0.0, 451.4857575301523, 77.23588398101933, -9.830001263566421, 77.23588398101933, 150.75145641357253, 10.404960988181843, -9.830001263566421, 10.404960988181843, 58.67523447314035, 3.32849819373526, 3.386387854844243, 7.0, 0.0
9, 0 ,0.3333333432674408,0.3333333432674408,0.3333333432674408,136.26560040156062,12.250861301877752,11.18271007780237,18.09984523899706,8.305741817819206,7.499457885291003,82.0,35.0,32.0,-0.9993264226304611,0.025248022198902775,0.026631530328709716,18.1100302315124,-0.011222359195638507,-0.9011951618866271,0.43326820659519866,8.523445581315706,0.03493937158406446,0.43267749833701685,0.9008714795941382,7.225599894072828,82.20416441833586,45.428857995469585,35.10198362349054,19.669454046883327,8.120602864978206,43829.0,131086.2977765987, 0.0, 0.0,0.0,NaN, 137.27144808779363,137.27144808779363,0.0, 327.60439767564446, -6.751084360016424, -7.438452349259572, -6.751084360016424, 68.98534714427069, -7.7954983528130155, -7.438452349259572, -7.7954983528130155, 56.241868573253406, 3.414033932712534, 3.597921349952989, 4.0, 0.0
10, 0 ,0.3333333432674408,0.3333333432674408,0.3333333432674408,113.56116303219108,85.15732502596055,116.93944755970924,18.258207431908264,14.89296518052707,12.266571052471505,89.0,75.0,61.0,-0.8423174432992674,-0.5278292318483337,0.10907624269373628,20.417587212457086,0.2924099357922972,-0.6175238234530903,-0.7301785787859169,13.44662974585036,0.45276677678881194,-0.5831471765123057,0.6744935999414645,10.389494539198473,99.91671267810099,67.78995169344095,63.4842146918042,25.153038915806565,8.541425477065578,120375.0,430000.75008583994, 1.4210854715202004E-14, 0.0,1.4210854715202004E-14,74.59410671336991, 183.90960320323393,183.90960320323393,0.0, 333.36213862659014, 124.19480535407091, -43.94271802831442, 124.19480535407091, 221.8004118683917, 15.070809903337333, -43.94271802831442, 15.070809903337333, 150.4687653853319, 2.4330782317174435, 2.56969155240579, 19.0, 0.0
